,group,variable,month,TOTAL 1.2 PERSONAS DE 5 A 9 AÑOS NUEVO,TOTAL 1.2 PERSONAS DE 5 A 9 AÑOS NUEVO,TOTAL 1.2 PERSONAS DE 5 A 9 AÑOS REPETIDO,TOTAL 1.2 PERSONAS DE 5 A 9 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa, personas de 5 a 9 anos,2014-01-01,11,8,0,0,11,8,19
ACHACACHI,consulta externa, personas de 5 a 9 anos,2014-01-01,32,35,4,6,36,41,77
ACHOCALLA,consulta externa, personas de 5 a 9 anos,2014-01-01,10,13,0,0,10,13,23
AIQUILE,consulta externa, personas de 5 a 9 anos,2014-01-01,29,43,0,7,29,50,79
ALALAY,consulta externa, personas de 5 a 9 anos,2014-01-01,4,0,0,0,4,0,4
ALCALA,consulta externa, personas de 5 a 9 anos,2014-01-01,17,9,0,0,17,9,26
ALTO BENI,consulta externa, personas de 5 a 9 anos,2014-01-01,18,12,1,0,19,12,31
ANCORAIMES,consulta externa, personas de 5 a 9 anos,2014-01-01,7,12,1,2,8,14,22
ANDAMARCA,consulta externa, personas de 5 a 9 anos,2014-01-01,10,18,0,0,10,18,28
ANTEQUERA,consulta externa, personas de 5 a 9 anos,2014-01-01,12,7,0,0,12,7,19
ANZALDO,consulta externa, personas de 5 a 9 anos,2014-01-01,11,10,1,3,12,13,25
APOLO,consulta externa, personas de 5 a 9 anos,2014-01-01,27,19,1,0,28,19,47
ARAMPAMPA,consulta externa, personas de 5 a 9 anos,2014-01-01,0,1,0,0,0,1,1
ARANI,consulta externa, personas de 5 a 9 anos,2014-01-01,16,17,0,0,16,17,33
ARBIETO,consulta externa, personas de 5 a 9 anos,2014-01-01,10,13,2,2,12,15,27
ARQUE,consulta externa, personas de 5 a 9 anos,2014-01-01,9,9,0,0,9,9,18
ASCENCION DE GUARAYOS,consulta externa, personas de 5 a 9 anos,2014-01-01,29,34,0,0,29,34,63
ATOCHA,consulta externa, personas de 5 a 9 anos,2014-01-01,178,174,45,46,223,220,443
AUCAPATA,consulta externa, personas de 5 a 9 anos,2014-01-01,14,10,3,0,17,10,27
AYATA,consulta externa, personas de 5 a 9 anos,2014-01-01,15,16,1,1,16,17,33
