,group,variable,month,TOTAL 1.3 PERSONAS DE 10 A 20 AÑOS NUEVO,TOTAL 1.3 PERSONAS DE 10 A 20 AÑOS NUEVO,TOTAL 1.3 PERSONAS DE 10 A 20 AÑOS REPETIDO,TOTAL 1.3 PERSONAS DE 10 A 20 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa, personas de 10 a 20 anos,2014-01-01,15,25,0,0,15,25,40
ACHACACHI,consulta externa, personas de 10 a 20 anos,2014-01-01,63,129,8,12,71,141,212
ACHOCALLA,consulta externa, personas de 10 a 20 anos,2014-01-01,7,40,0,0,7,40,47
AIQUILE,consulta externa, personas de 10 a 20 anos,2014-01-01,69,68,11,22,80,90,170
ALALAY,consulta externa, personas de 10 a 20 anos,2014-01-01,5,9,0,2,5,11,16
ALCALA,consulta externa, personas de 10 a 20 anos,2014-01-01,34,45,0,0,34,45,79
ALTO BENI,consulta externa, personas de 10 a 20 anos,2014-01-01,35,54,1,0,36,54,90
ANCORAIMES,consulta externa, personas de 10 a 20 anos,2014-01-01,21,36,8,0,29,36,65
ANDAMARCA,consulta externa, personas de 10 a 20 anos,2014-01-01,31,36,0,0,31,36,67
ANTEQUERA,consulta externa, personas de 10 a 20 anos,2014-01-01,5,14,0,0,5,14,19
ANZALDO,consulta externa, personas de 10 a 20 anos,2014-01-01,22,46,5,2,27,48,75
APOLO,consulta externa, personas de 10 a 20 anos,2014-01-01,52,71,4,2,56,73,129
ARAMPAMPA,consulta externa, personas de 10 a 20 anos,2014-01-01,2,15,0,0,2,15,17
ARANI,consulta externa, personas de 10 a 20 anos,2014-01-01,16,34,0,3,16,37,53
ARBIETO,consulta externa, personas de 10 a 20 anos,2014-01-01,25,53,10,12,35,65,100
ARQUE,consulta externa, personas de 10 a 20 anos,2014-01-01,35,51,0,0,35,51,86
ASCENCION DE GUARAYOS,consulta externa, personas de 10 a 20 anos,2014-01-01,32,83,0,1,32,84,116
ATOCHA,consulta externa, personas de 10 a 20 anos,2014-01-01,253,307,78,77,331,384,715
AUCAPATA,consulta externa, personas de 10 a 20 anos,2014-01-01,24,29,1,0,25,29,54
AYATA,consulta externa, personas de 10 a 20 anos,2014-01-01,20,29,1,1,21,30,51
