,group,variable,month,RESTAURACIONES CANTIDAD,RESTAURACIONES CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,atencion odontologica,restauraciones,2012-01-01,67,120,67,120,187
ACHOCALLA,atencion odontologica,restauraciones,2012-01-01,7,5,7,5,12
AIQUILE,atencion odontologica,restauraciones,2012-01-01,4,35,4,35,39
ALALAY,atencion odontologica,restauraciones,2012-01-01,9,1,9,1,10
ALCALA,atencion odontologica,restauraciones,2012-01-01,19,55,19,55,74
ALTO BENI,atencion odontologica,restauraciones,2012-01-01,1,3,1,3,4
ANCORAIMES,atencion odontologica,restauraciones,2012-01-01,13,9,13,9,22
ANDAMARCA,atencion odontologica,restauraciones,2012-01-01,4,9,4,9,13
ANTEQUERA,atencion odontologica,restauraciones,2012-01-01,16,46,16,46,62
ANZALDO,atencion odontologica,restauraciones,2012-01-01,14,59,14,59,73
APOLO,atencion odontologica,restauraciones,2012-01-01,49,80,49,80,129
ARAMPAMPA,atencion odontologica,restauraciones,2012-01-01,3,6,3,6,9
ARANI,atencion odontologica,restauraciones,2012-01-01,14,38,14,38,52
ARBIETO,atencion odontologica,restauraciones,2012-01-01,36,60,36,60,96
ARQUE,atencion odontologica,restauraciones,2012-01-01,20,108,20,108,128
ASCENCION DE GUARAYOS,atencion odontologica,restauraciones,2012-01-01,16,40,16,40,56
ATOCHA,atencion odontologica,restauraciones,2012-01-01,110,195,110,195,305
AYATA,atencion odontologica,restauraciones,2012-01-01,14,30,14,30,44
AYO AYO,atencion odontologica,restauraciones,2012-01-01,19,18,19,18,37
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,restauraciones,2012-01-01,95,164,95,164,259
AZURDUY,atencion odontologica,restauraciones,2012-01-01,22,41,22,41,63
BATALLAS,atencion odontologica,restauraciones,2012-01-01,16,26,16,26,42
BAURES,atencion odontologica,restauraciones,2012-01-01,3,1,3,1,4
BELEN DE URMIRI,atencion odontologica,restauraciones,2012-01-01,1,4,1,4,5
BELLA FLOR,atencion odontologica,restauraciones,2012-01-01,0,3,0,3,3
BERMEJO,atencion odontologica,restauraciones,2012-01-01,109,182,109,182,291
BETANZOS,atencion odontologica,restauraciones,2012-01-01,37,91,37,91,128
BOLIVAR,atencion odontologica,restauraciones,2012-01-01,21,19,21,19,40
BOLPEBRA,atencion odontologica,restauraciones,2012-01-01,3,5,3,5,8
BOYUIBE,atencion odontologica,restauraciones,2012-01-01,3,13,3,13,16
BUENA VISTA,atencion odontologica,restauraciones,2012-01-01,24,10,24,10,34
CABEZAS,atencion odontologica,restauraciones,2012-01-01,36,79,36,79,115
CAIROMA,atencion odontologica,restauraciones,2012-01-01,13,24,13,24,37
"CAIZA ""D""",atencion odontologica,restauraciones,2012-01-01,7,18,7,18,25
CAJUATA,atencion odontologica,restauraciones,2012-01-01,25,43,25,43,68
CALACOTO,atencion odontologica,restauraciones,2012-01-01,9,20,9,20,29
CALAMARCA,atencion odontologica,restauraciones,2012-01-01,68,85,68,85,153
CAMARGO,atencion odontologica,restauraciones,2012-01-01,75,125,75,125,200
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,restauraciones,2012-01-01,4,35,4,35,39
CAMIRI,atencion odontologica,restauraciones,2012-01-01,222,277,222,277,499
CAPINOTA,atencion odontologica,restauraciones,2012-01-01,60,107,60,107,167
CAQUIAVIRI,atencion odontologica,restauraciones,2012-01-01,8,11,8,11,19
CARACOLLO,atencion odontologica,restauraciones,2012-01-01,47,91,47,91,138
CARANAVI,atencion odontologica,restauraciones,2012-01-01,42,63,42,63,105
CARAPARI,atencion odontologica,restauraciones,2012-01-01,75,133,75,133,208
CARIPUYO,atencion odontologica,restauraciones,2012-01-01,6,20,6,20,26
CARMEN RIVERO TORREZ,atencion odontologica,restauraciones,2012-01-01,3,4,3,4,7
CATACORA,atencion odontologica,restauraciones,2012-01-01,15,10,15,10,25
CHALLAPATA,atencion odontologica,restauraciones,2012-01-01,76,131,76,131,207
CHAQUI,atencion odontologica,restauraciones,2012-01-01,3,3,3,3,6
CHARAGUA,atencion odontologica,restauraciones,2012-01-01,21,39,21,39,60
