,group,variable,month,ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,50,82,50,82,132
ACHOCALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,26,32,26,32,58
AIQUILE,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,13,21,13,21,34
ALALAY,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,0,3,0,3,3
ALCALA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,18,15,18,15,33
ALTO BENI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,1,4,1,4,5
ANCORAIMES,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,3,4,3,4,7
ANDAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,3,0,3,0,3
ANTEQUERA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,0,5,0,5,5
ANZALDO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,41,112,41,112,153
APOLO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,6,2,6,2,8
ARAMPAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,7,7,7,7,14
ARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,39,69,39,69,108
ARBIETO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,77,85,77,85,162
ARQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,2,4,2,4,6
ASCENCION DE GUARAYOS,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,106,125,106,125,231
ATOCHA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,13,18,13,18,31
AUCAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,2,2,2,2,4
AYATA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,17,14,17,14,31
AYO AYO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,3,12,3,12,15
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,198,264,198,264,462
AZURDUY,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,9,30,9,30,39
BATALLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,2,1,2,1,3
BELLA FLOR,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,3,9,3,9,12
BERMEJO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,41,132,41,132,173
BETANZOS,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,4,5,4,5,9
BOLIVAR,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,5,1,5,1,6
BOYUIBE,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,0,4,0,4,4
BUENA VISTA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,28,13,28,13,41
CABEZAS,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,29,88,29,88,117
CAIROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,7,6,7,6,13
"CAIZA ""D""",atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,7,2,7,2,9
CAJUATA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,33,63,33,63,96
CALACOTO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,4,6,4,6,10
CALAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,39,64,39,64,103
CAMARGO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,6,27,6,27,33
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,2,3,2,3,5
CAMIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,82,82,82,82,164
CAPINOTA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,263,266,263,266,529
