,group,variable,month,ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,94,101,94,101,195
ACHOCALLA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,6,11,6,11,17
AIQUILE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,12,22,12,22,34
ALCALA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,26,33,26,33,59
ANCORAIMES,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,5,2,5,2,7
ANZALDO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,4,7,4,7,11
ARAMPAMPA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,5,8,5,8,13
ARANI,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,106,146,106,146,252
ARBIETO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,2,4,2,4,6
ARQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,8,19,8,19,27
ATOCHA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,2,3,2,3,5
AYATA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,10,10,10,10,20
AYO AYO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,1,2,1,2,3
AZURDUY,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,2,2,2,2,4
BERMEJO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,21,9,21,9,30
BETANZOS,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,1,2,1,2,3
BOLIVAR,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,5,9,5,9,14
BOLPEBRA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,46,8,46,8,54
"CAIZA ""D""",atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,27,37,27,37,64
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,22,0,22,0,22
CAMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,9,10,9,10,19
CAPINOTA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,34,43,34,43,77
CARACOLLO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,0,1,0,1,1
CARANAVI,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,11,10,11,10,21
CARAPARI,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,2,6,2,6,8
CARIPUYO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,0,12,0,12,12
CATACORA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,6,0,6,0,6
CHALLAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,2,0,2,0,2
CHARAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,1,2,1,2,3
CHIMORE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,40,28,40,28,68
CHIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,4,9,4,9,13
CLIZA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,6,13,6,13,19
COBIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,63,64,63,64,127
COCAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,0,11,0,11,11
COCHABAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,241,199,241,199,440
COLCAPIRHUA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,2,0,2,0,2
"COLCHA ""K""",atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,6,2,6,2,8
COLQUECHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,14,21,14,21,35
COPACABANA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,0,1,0,1,1
