,group,variable,month,CIRUGIA BUCAL MENOR CANTIDAD,CIRUGIA BUCAL MENOR CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,atencion odontologica,cirugia bucal menor,2012-01-01,109,135,109,135,244
ACHOCALLA,atencion odontologica,cirugia bucal menor,2012-01-01,15,26,15,26,41
AIQUILE,atencion odontologica,cirugia bucal menor,2012-01-01,6,8,6,8,14
ALALAY,atencion odontologica,cirugia bucal menor,2012-01-01,1,1,1,1,2
ALCALA,atencion odontologica,cirugia bucal menor,2012-01-01,8,30,8,30,38
ALTO BENI,atencion odontologica,cirugia bucal menor,2012-01-01,2,2,2,2,4
ANCORAIMES,atencion odontologica,cirugia bucal menor,2012-01-01,32,37,32,37,69
ANDAMARCA,atencion odontologica,cirugia bucal menor,2012-01-01,2,5,2,5,7
ANTEQUERA,atencion odontologica,cirugia bucal menor,2012-01-01,17,21,17,21,38
ANZALDO,atencion odontologica,cirugia bucal menor,2012-01-01,9,48,9,48,57
APOLO,atencion odontologica,cirugia bucal menor,2012-01-01,25,72,25,72,97
ARAMPAMPA,atencion odontologica,cirugia bucal menor,2012-01-01,2,3,2,3,5
ARANI,atencion odontologica,cirugia bucal menor,2012-01-01,11,9,11,9,20
ARBIETO,atencion odontologica,cirugia bucal menor,2012-01-01,7,4,7,4,11
ARQUE,atencion odontologica,cirugia bucal menor,2012-01-01,7,26,7,26,33
ASCENCION DE GUARAYOS,atencion odontologica,cirugia bucal menor,2012-01-01,30,50,30,50,80
ATOCHA,atencion odontologica,cirugia bucal menor,2012-01-01,71,75,71,75,146
AUCAPATA,atencion odontologica,cirugia bucal menor,2012-01-01,13,21,13,21,34
AYATA,atencion odontologica,cirugia bucal menor,2012-01-01,30,66,30,66,96
AYO AYO,atencion odontologica,cirugia bucal menor,2012-01-01,24,44,24,44,68
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,cirugia bucal menor,2012-01-01,50,78,50,78,128
AZURDUY,atencion odontologica,cirugia bucal menor,2012-01-01,9,27,9,27,36
BATALLAS,atencion odontologica,cirugia bucal menor,2012-01-01,18,53,18,53,71
BAURES,atencion odontologica,cirugia bucal menor,2012-01-01,9,7,9,7,16
BELEN DE URMIRI,atencion odontologica,cirugia bucal menor,2012-01-01,8,14,8,14,22
BELLA FLOR,atencion odontologica,cirugia bucal menor,2012-01-01,0,2,0,2,2
BERMEJO,atencion odontologica,cirugia bucal menor,2012-01-01,50,140,50,140,190
BETANZOS,atencion odontologica,cirugia bucal menor,2012-01-01,27,47,27,47,74
BOLIVAR,atencion odontologica,cirugia bucal menor,2012-01-01,7,12,7,12,19
BOLPEBRA,atencion odontologica,cirugia bucal menor,2012-01-01,2,1,2,1,3
BOYUIBE,atencion odontologica,cirugia bucal menor,2012-01-01,8,23,8,23,31
BUENA VISTA,atencion odontologica,cirugia bucal menor,2012-01-01,11,7,11,7,18
CABEZAS,atencion odontologica,cirugia bucal menor,2012-01-01,32,74,32,74,106
CAIROMA,atencion odontologica,cirugia bucal menor,2012-01-01,36,44,36,44,80
"CAIZA ""D""",atencion odontologica,cirugia bucal menor,2012-01-01,6,17,6,17,23
CAJUATA,atencion odontologica,cirugia bucal menor,2012-01-01,22,58,22,58,80
CALACOTO,atencion odontologica,cirugia bucal menor,2012-01-01,6,14,6,14,20
CALAMARCA,atencion odontologica,cirugia bucal menor,2012-01-01,57,74,57,74,131
CAMARGO,atencion odontologica,cirugia bucal menor,2012-01-01,29,43,29,43,72
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,cirugia bucal menor,2012-01-01,1,30,1,30,31
CAMIRI,atencion odontologica,cirugia bucal menor,2012-01-01,88,126,88,126,214
CAPINOTA,atencion odontologica,cirugia bucal menor,2012-01-01,2,18,2,18,20
CAQUIAVIRI,atencion odontologica,cirugia bucal menor,2012-01-01,20,37,20,37,57
CARACOLLO,atencion odontologica,cirugia bucal menor,2012-01-01,51,64,51,64,115
CARANAVI,atencion odontologica,cirugia bucal menor,2012-01-01,19,19,19,19,38
CARAPARI,atencion odontologica,cirugia bucal menor,2012-01-01,49,86,49,86,135
