,group,variable,month,PRIMERA CONSULTA CANTIDAD,PRIMERA CONSULTA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,atencion odontologica,primera consulta,2012-01-01,240,342,240,342,582
ACHOCALLA,atencion odontologica,primera consulta,2012-01-01,38,84,38,84,122
AIQUILE,atencion odontologica,primera consulta,2012-01-01,20,40,20,40,60
ALALAY,atencion odontologica,primera consulta,2012-01-01,1,7,1,7,8
ALCALA,atencion odontologica,primera consulta,2012-01-01,101,151,101,151,252
ALTO BENI,atencion odontologica,primera consulta,2012-01-01,4,7,4,7,11
ANCORAIMES,atencion odontologica,primera consulta,2012-01-01,4,11,4,11,15
ANDAMARCA,atencion odontologica,primera consulta,2012-01-01,11,16,11,16,27
ANTEQUERA,atencion odontologica,primera consulta,2012-01-01,27,62,27,62,89
ANZALDO,atencion odontologica,primera consulta,2012-01-01,22,52,22,52,74
APOLO,atencion odontologica,primera consulta,2012-01-01,37,85,37,85,122
ARAMPAMPA,atencion odontologica,primera consulta,2012-01-01,6,17,6,17,23
ARANI,atencion odontologica,primera consulta,2012-01-01,39,64,39,64,103
ARBIETO,atencion odontologica,primera consulta,2012-01-01,43,61,43,61,104
ARQUE,atencion odontologica,primera consulta,2012-01-01,49,83,49,83,132
ASCENCION DE GUARAYOS,atencion odontologica,primera consulta,2012-01-01,134,174,134,174,308
ATOCHA,atencion odontologica,primera consulta,2012-01-01,279,313,279,313,592
AUCAPATA,atencion odontologica,primera consulta,2012-01-01,10,16,10,16,26
AYATA,atencion odontologica,primera consulta,2012-01-01,47,90,47,90,137
AYO AYO,atencion odontologica,primera consulta,2012-01-01,61,67,61,67,128
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,primera consulta,2012-01-01,88,109,88,109,197
AZURDUY,atencion odontologica,primera consulta,2012-01-01,35,70,35,70,105
BATALLAS,atencion odontologica,primera consulta,2012-01-01,24,53,24,53,77
BAURES,atencion odontologica,primera consulta,2012-01-01,8,11,8,11,19
BELEN DE URMIRI,atencion odontologica,primera consulta,2012-01-01,11,15,11,15,26
BELLA FLOR,atencion odontologica,primera consulta,2012-01-01,3,12,3,12,15
BERMEJO,atencion odontologica,primera consulta,2012-01-01,198,313,198,313,511
BETANZOS,atencion odontologica,primera consulta,2012-01-01,38,84,38,84,122
BOLIVAR,atencion odontologica,primera consulta,2012-01-01,34,41,34,41,75
BOLPEBRA,atencion odontologica,primera consulta,2012-01-01,37,41,37,41,78
BOYUIBE,atencion odontologica,primera consulta,2012-01-01,11,38,11,38,49
BUENA VISTA,atencion odontologica,primera consulta,2012-01-01,16,14,16,14,30
CABEZAS,atencion odontologica,primera consulta,2012-01-01,115,193,115,193,308
CAIROMA,atencion odontologica,primera consulta,2012-01-01,63,69,63,69,132
"CAIZA ""D""",atencion odontologica,primera consulta,2012-01-01,26,46,26,46,72
CAJUATA,atencion odontologica,primera consulta,2012-01-01,61,86,61,86,147
CALACOTO,atencion odontologica,primera consulta,2012-01-01,25,32,25,32,57
CALAMARCA,atencion odontologica,primera consulta,2012-01-01,119,196,119,196,315
CAMARGO,atencion odontologica,primera consulta,2012-01-01,71,121,71,121,192
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,primera consulta,2012-01-01,31,48,31,48,79
CAMIRI,atencion odontologica,primera consulta,2012-01-01,279,369,279,369,648
CAPINOTA,atencion odontologica,primera consulta,2012-01-01,152,210,152,210,362
CAQUIAVIRI,atencion odontologica,primera consulta,2012-01-01,43,64,43,64,107
CARACOLLO,atencion odontologica,primera consulta,2012-01-01,88,148,88,148,236
CARANAVI,atencion odontologica,primera consulta,2012-01-01,46,88,46,88,134
CARAPARI,atencion odontologica,primera consulta,2012-01-01,127,199,127,199,326
CARIPUYO,atencion odontologica,primera consulta,2012-01-01,33,47,33,47,80
CARMEN RIVERO TORREZ,atencion odontologica,primera consulta,2012-01-01,11,22,11,22,33
CATACORA,atencion odontologica,primera consulta,2012-01-01,9,6,9,6,15
CHALLAPATA,atencion odontologica,primera consulta,2012-01-01,138,266,138,266,404
CHAQUI,atencion odontologica,primera consulta,2012-01-01,14,27,14,27,41
