,group,variable,month,OTRAS ACCIONES CANTIDAD,OTRAS ACCIONES CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,atencion odontologica,otras acciones,2012-01-01,48,78,48,78,126
ACHOCALLA,atencion odontologica,otras acciones,2012-01-01,4,3,4,3,7
ALALAY,atencion odontologica,otras acciones,2012-01-01,6,6,6,6,12
ALCALA,atencion odontologica,otras acciones,2012-01-01,8,7,8,7,15
ANCORAIMES,atencion odontologica,otras acciones,2012-01-01,5,7,5,7,12
ANDAMARCA,atencion odontologica,otras acciones,2012-01-01,7,11,7,11,18
ANTEQUERA,atencion odontologica,otras acciones,2012-01-01,12,36,12,36,48
ANZALDO,atencion odontologica,otras acciones,2012-01-01,3,9,3,9,12
APOLO,atencion odontologica,otras acciones,2012-01-01,13,15,13,15,28
ARAMPAMPA,atencion odontologica,otras acciones,2012-01-01,0,8,0,8,8
ARANI,atencion odontologica,otras acciones,2012-01-01,28,59,28,59,87
ARBIETO,atencion odontologica,otras acciones,2012-01-01,5,9,5,9,14
ARQUE,atencion odontologica,otras acciones,2012-01-01,5,4,5,4,9
ATOCHA,atencion odontologica,otras acciones,2012-01-01,96,144,96,144,240
AYATA,atencion odontologica,otras acciones,2012-01-01,9,10,9,10,19
AYO AYO,atencion odontologica,otras acciones,2012-01-01,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,otras acciones,2012-01-01,50,57,50,57,107
AZURDUY,atencion odontologica,otras acciones,2012-01-01,14,39,14,39,53
BELEN DE URMIRI,atencion odontologica,otras acciones,2012-01-01,3,5,3,5,8
BERMEJO,atencion odontologica,otras acciones,2012-01-01,30,85,30,85,115
BETANZOS,atencion odontologica,otras acciones,2012-01-01,10,17,10,17,27
BOLIVAR,atencion odontologica,otras acciones,2012-01-01,1,0,1,0,1
CABEZAS,atencion odontologica,otras acciones,2012-01-01,19,44,19,44,63
CAIROMA,atencion odontologica,otras acciones,2012-01-01,13,11,13,11,24
"CAIZA ""D""",atencion odontologica,otras acciones,2012-01-01,25,40,25,40,65
CAJUATA,atencion odontologica,otras acciones,2012-01-01,5,3,5,3,8
CALACOTO,atencion odontologica,otras acciones,2012-01-01,6,7,6,7,13
CALAMARCA,atencion odontologica,otras acciones,2012-01-01,78,96,78,96,174
CAMARGO,atencion odontologica,otras acciones,2012-01-01,28,112,28,112,140
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,otras acciones,2012-01-01,19,47,19,47,66
CAMIRI,atencion odontologica,otras acciones,2012-01-01,176,262,176,262,438
CAPINOTA,atencion odontologica,otras acciones,2012-01-01,64,109,64,109,173
CAQUIAVIRI,atencion odontologica,otras acciones,2012-01-01,14,18,14,18,32
CARACOLLO,atencion odontologica,otras acciones,2012-01-01,25,25,25,25,50
CARANAVI,atencion odontologica,otras acciones,2012-01-01,134,131,134,131,265
CARAPARI,atencion odontologica,otras acciones,2012-01-01,7,18,7,18,25
CARIPUYO,atencion odontologica,otras acciones,2012-01-01,13,14,13,14,27
CARMEN RIVERO TORREZ,atencion odontologica,otras acciones,2012-01-01,4,6,4,6,10
CATACORA,atencion odontologica,otras acciones,2012-01-01,2,1,2,1,3
CHALLAPATA,atencion odontologica,otras acciones,2012-01-01,34,70,34,70,104
CHAQUI,atencion odontologica,otras acciones,2012-01-01,5,13,5,13,18
CHARAGUA,atencion odontologica,otras acciones,2012-01-01,3,4,3,4,7
CHAYANTA,atencion odontologica,otras acciones,2012-01-01,19,55,19,55,74
CHIMORE,atencion odontologica,otras acciones,2012-01-01,26,48,26,48,74
CHIPAYA,atencion odontologica,otras acciones,2012-01-01,9,15,9,15,24
CHOQUE COTA,atencion odontologica,otras acciones,2012-01-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,otras acciones,2012-01-01,20,47,20,47,67
CHUMA,atencion odontologica,otras acciones,2012-01-01,57,44,57,44,101
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,otras acciones,2012-01-01,19,37,19,37,56
CKOCHAS,atencion odontologica,otras acciones,2012-01-01,5,3,5,3,8
