,group,variable,month,CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,155,191,155,191,346
ACHOCALLA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,46,45,46,45,91
AIQUILE,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,20,37,20,37,57
ALCALA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,85,88,85,88,173
ALTO BENI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,1,5,1,5,6
ANCORAIMES,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,10,9,10,9,19
ANDAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,8,3,8,3,11
ANTEQUERA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,10,11,10,11,21
ANZALDO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,7,6,7,6,13
APOLO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,36,22,36,22,58
ARAMPAMPA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,6,3,6,3,9
ARANI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,16,7,16,7,23
ARBIETO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,96,90,96,90,186
ARQUE,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,12,40,12,40,52
ASCENCION DE GUARAYOS,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,108,118,108,118,226
ATOCHA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,43,40,43,40,83
AUCAPATA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,1,2,1,2,3
AYATA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,11,7,11,7,18
AYO AYO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,12,17,12,17,29
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,44,51,44,51,95
AZURDUY,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,6,47,6,47,53
BATALLAS,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,14,5,14,5,19
BELEN DE URMIRI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,2,2,2,2,4
BELLA FLOR,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,3,3,3,3,6
BERMEJO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,13,25,13,25,38
BETANZOS,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,12,4,12,4,16
BOLIVAR,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,18,8,18,8,26
BOLPEBRA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,14,9,14,9,23
BOYUIBE,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,2,4,2,4,6
BUENA VISTA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,0,1,0,1,1
CABEZAS,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,39,57,39,57,96
CAIROMA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,17,14,17,14,31
"CAIZA ""D""",atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,10,5,10,5,15
CAJUATA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,40,80,40,80,120
CALACOTO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,9,9,9,9,18
CALAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,75,91,75,91,166
CAMARGO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,42,31,42,31,73
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,16,11,16,11,27
CAMIRI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,114,140,114,140,254
CAPINOTA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,30,48,30,48,78
