,group,variable,month,CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,36,0,36,36
ACHOCALLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,16,0,16,16
AIQUILE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,27,0,27,27
ALALAY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,1,0,1,1
ALCALA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,22,0,22,22
ANCORAIMES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,10,0,10,10
ANDAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,1,0,1,1
ANTEQUERA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,11,0,11,11
ANZALDO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,61,0,61,61
APOLO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,50,0,50,50
ARAMPAMPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,7,0,7,7
ARANI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,10,0,10,10
ARBIETO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,75,0,75,75
ARQUE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,106,0,106,106
ASCENCION DE GUARAYOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,15,0,15,15
ATOCHA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,16,0,16,16
AYATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,25,0,25,25
AYO AYO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,20,0,20,20
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,110,0,110,110
AZURDUY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,21,0,21,21
BATALLAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,9,0,9,9
BAURES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,1,0,1,1
BELEN DE URMIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,1,0,1,1
BELLA FLOR,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,4,0,4,4
BERMEJO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,26,0,26,26
BETANZOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,14,0,14,14
BOLIVAR,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,3,0,3,3
BOLPEBRA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,6,0,6,6
BOYUIBE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,11,0,11,11
CABEZAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,43,0,43,43
CAIROMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,13,0,13,13
"CAIZA ""D""",atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,13,0,13,13
CAJUATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,15,0,15,15
CALACOTO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,4,0,4,4
CALAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,51,0,51,51
CAMARGO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,65,0,65,65
