,group,variable,month,ENDODONCIAS CANTIDAD,ENDODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,atencion odontologica,endodoncias,2012-01-01,25,37,25,37,62
ACHOCALLA,atencion odontologica,endodoncias,2012-01-01,1,3,1,3,4
AIQUILE,atencion odontologica,endodoncias,2012-01-01,3,9,3,9,12
ANCORAIMES,atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
ANTEQUERA,atencion odontologica,endodoncias,2012-01-01,2,5,2,5,7
ANZALDO,atencion odontologica,endodoncias,2012-01-01,0,17,0,17,17
ARAMPAMPA,atencion odontologica,endodoncias,2012-01-01,0,3,0,3,3
ARANI,atencion odontologica,endodoncias,2012-01-01,7,30,7,30,37
ARBIETO,atencion odontologica,endodoncias,2012-01-01,4,12,4,12,16
ARQUE,atencion odontologica,endodoncias,2012-01-01,2,8,2,8,10
ASCENCION DE GUARAYOS,atencion odontologica,endodoncias,2012-01-01,0,4,0,4,4
ATOCHA,atencion odontologica,endodoncias,2012-01-01,57,78,57,78,135
AYO AYO,atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,endodoncias,2012-01-01,28,32,28,32,60
AZURDUY,atencion odontologica,endodoncias,2012-01-01,5,16,5,16,21
BELEN DE URMIRI,atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
BERMEJO,atencion odontologica,endodoncias,2012-01-01,18,34,18,34,52
BETANZOS,atencion odontologica,endodoncias,2012-01-01,5,9,5,9,14
BOLIVAR,atencion odontologica,endodoncias,2012-01-01,2,0,2,0,2
BOYUIBE,atencion odontologica,endodoncias,2012-01-01,3,4,3,4,7
BUENA VISTA,atencion odontologica,endodoncias,2012-01-01,10,4,10,4,14
CABEZAS,atencion odontologica,endodoncias,2012-01-01,4,5,4,5,9
"CAIZA ""D""",atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
CAJUATA,atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
CALAMARCA,atencion odontologica,endodoncias,2012-01-01,9,11,9,11,20
CAMARGO,atencion odontologica,endodoncias,2012-01-01,17,22,17,22,39
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,endodoncias,2012-01-01,1,1,1,1,2
CAMIRI,atencion odontologica,endodoncias,2012-01-01,42,66,42,66,108
CAPINOTA,atencion odontologica,endodoncias,2012-01-01,16,21,16,21,37
CAQUIAVIRI,atencion odontologica,endodoncias,2012-01-01,0,21,0,21,21
CARACOLLO,atencion odontologica,endodoncias,2012-01-01,13,4,13,4,17
CARANAVI,atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
CARAPARI,atencion odontologica,endodoncias,2012-01-01,9,12,9,12,21
CARIPUYO,atencion odontologica,endodoncias,2012-01-01,9,11,9,11,20
CARMEN RIVERO TORREZ,atencion odontologica,endodoncias,2012-01-01,0,2,0,2,2
CHALLAPATA,atencion odontologica,endodoncias,2012-01-01,4,17,4,17,21
CHAQUI,atencion odontologica,endodoncias,2012-01-01,1,6,1,6,7
CHARAGUA,atencion odontologica,endodoncias,2012-01-01,4,3,4,3,7
CHIMORE,atencion odontologica,endodoncias,2012-01-01,4,7,4,7,11
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,endodoncias,2012-01-01,8,27,8,27,35
CHUMA,atencion odontologica,endodoncias,2012-01-01,14,10,14,10,24
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,endodoncias,2012-01-01,0,17,0,17,17
CKOCHAS,atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
CLIZA,atencion odontologica,endodoncias,2012-01-01,30,38,30,38,68
COBIJA,atencion odontologica,endodoncias,2012-01-01,7,13,7,13,20
COCAPATA,atencion odontologica,endodoncias,2012-01-01,0,3,0,3,3
COCHABAMBA,atencion odontologica,endodoncias,2012-01-01,712,796,712,796,1508
COIPASA,atencion odontologica,endodoncias,2012-01-01,2,0,2,0,2
COLCAPIRHUA,atencion odontologica,endodoncias,2012-01-01,24,26,24,26,50
"COLCHA ""K""",atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
