,group,variable,month,PERIODONCIAS CANTIDAD,PERIODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,atencion odontologica,periodoncias,2012-01-01,1,9,1,9,10
AIQUILE,atencion odontologica,periodoncias,2012-01-01,7,13,7,13,20
ALCALA,atencion odontologica,periodoncias,2012-01-01,0,5,0,5,5
ALTO BENI,atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
ANCORAIMES,atencion odontologica,periodoncias,2012-01-01,9,7,9,7,16
ANDAMARCA,atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
ANTEQUERA,atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
ANZALDO,atencion odontologica,periodoncias,2012-01-01,9,13,9,13,22
APOLO,atencion odontologica,periodoncias,2012-01-01,1,2,1,2,3
ARANI,atencion odontologica,periodoncias,2012-01-01,3,3,3,3,6
ARBIETO,atencion odontologica,periodoncias,2012-01-01,30,42,30,42,72
ARQUE,atencion odontologica,periodoncias,2012-01-01,0,2,0,2,2
ASCENCION DE GUARAYOS,atencion odontologica,periodoncias,2012-01-01,0,2,0,2,2
ATOCHA,atencion odontologica,periodoncias,2012-01-01,8,13,8,13,21
AYATA,atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
AYO AYO,atencion odontologica,periodoncias,2012-01-01,0,4,0,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,periodoncias,2012-01-01,6,2,6,2,8
AZURDUY,atencion odontologica,periodoncias,2012-01-01,2,3,2,3,5
BERMEJO,atencion odontologica,periodoncias,2012-01-01,14,25,14,25,39
BETANZOS,atencion odontologica,periodoncias,2012-01-01,3,2,3,2,5
BOLIVAR,atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
BUENA VISTA,atencion odontologica,periodoncias,2012-01-01,16,4,16,4,20
CABEZAS,atencion odontologica,periodoncias,2012-01-01,7,41,7,41,48
CAIROMA,atencion odontologica,periodoncias,2012-01-01,2,0,2,0,2
CAMARGO,atencion odontologica,periodoncias,2012-01-01,1,9,1,9,10
CAMIRI,atencion odontologica,periodoncias,2012-01-01,47,99,47,99,146
CAPINOTA,atencion odontologica,periodoncias,2012-01-01,7,11,7,11,18
CARACOLLO,atencion odontologica,periodoncias,2012-01-01,3,3,3,3,6
CARANAVI,atencion odontologica,periodoncias,2012-01-01,0,22,0,22,22
CARAPARI,atencion odontologica,periodoncias,2012-01-01,9,13,9,13,22
CARMEN RIVERO TORREZ,atencion odontologica,periodoncias,2012-01-01,4,7,4,7,11
CATACORA,atencion odontologica,periodoncias,2012-01-01,1,0,1,0,1
CHALLAPATA,atencion odontologica,periodoncias,2012-01-01,3,6,3,6,9
CHARAGUA,atencion odontologica,periodoncias,2012-01-01,0,4,0,4,4
CHIMORE,atencion odontologica,periodoncias,2012-01-01,0,8,0,8,8
CHIPAYA,atencion odontologica,periodoncias,2012-01-01,0,3,0,3,3
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,periodoncias,2012-01-01,2,1,2,1,3
CHUMA,atencion odontologica,periodoncias,2012-01-01,4,7,4,7,11
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,periodoncias,2012-01-01,0,2,0,2,2
CLIZA,atencion odontologica,periodoncias,2012-01-01,53,112,53,112,165
COBIJA,atencion odontologica,periodoncias,2012-01-01,24,10,24,10,34
COCAPATA,atencion odontologica,periodoncias,2012-01-01,1,4,1,4,5
COCHABAMBA,atencion odontologica,periodoncias,2012-01-01,549,726,549,726,1275
COIPASA,atencion odontologica,periodoncias,2012-01-01,1,0,1,0,1
COLCAPIRHUA,atencion odontologica,periodoncias,2012-01-01,8,24,8,24,32
"COLCHA ""K""",atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
COLLANA,atencion odontologica,periodoncias,2012-01-01,0,2,0,2,2
COLOMI,atencion odontologica,periodoncias,2012-01-01,5,21,5,21,26
COLPA BELGICA,atencion odontologica,periodoncias,2012-01-01,2,11,2,11,13
COLQUECHACA,atencion odontologica,periodoncias,2012-01-01,1,2,1,2,3
COLQUIRI,atencion odontologica,periodoncias,2012-01-01,0,2,0,2,2
