,group,variable,month,CONSULTAS NUEVAS DE 5 A 60 AÑOS CANTIDAD,CONSULTAS NUEVAS DE 5 A 60 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,96,258,96,258,354
ACHOCALLA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,27,66,27,66,93
AIQUILE,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,23,46,23,46,69
ALALAY,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,10,5,10,5,15
ALCALA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,18,52,18,52,70
ALTO BENI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,3,5,3,5,8
ANCORAIMES,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,42,38,42,38,80
ANDAMARCA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,8,13,8,13,21
ANTEQUERA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,33,71,33,71,104
ANZALDO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,40,96,40,96,136
APOLO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,55,150,55,150,205
ARAMPAMPA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,1,0,1,0,1
ARANI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,40,96,40,96,136
ARBIETO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,51,53,51,53,104
ARQUE,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,28,172,28,172,200
ASCENCION DE GUARAYOS,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,30,58,30,58,88
ATOCHA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,280,379,280,379,659
AUCAPATA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,11,21,11,21,32
AYATA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,52,121,52,121,173
AYO AYO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,44,50,44,50,94
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,127,130,127,130,257
AZURDUY,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,34,70,34,70,104
BATALLAS,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,21,68,21,68,89
BAURES,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,6,12,6,12,18
BELEN DE URMIRI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,7,11,7,11,18
BELLA FLOR,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,0,8,0,8,8
BERMEJO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,181,372,181,372,553
BETANZOS,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,46,130,46,130,176
BOLIVAR,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,32,51,32,51,83
BOLPEBRA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,21,26,21,26,47
BOYUIBE,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,12,31,12,31,43
BUENA VISTA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,15,3,15,3,18
CABEZAS,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,138,191,138,191,329
CAIROMA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,56,65,56,65,121
"CAIZA ""D""",atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,29,59,29,59,88
CAJUATA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,43,63,43,63,106
CALACOTO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,17,32,17,32,49
CALAMARCA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,156,165,156,165,321
CAMARGO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,90,131,90,131,221
