,group,variable,month,CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,45,27,45,27,72
ACHOCALLA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,0,2,0,2
AIQUILE,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,3,4,3,7
ALCALA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,2,1,2,3
ANCORAIMES,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,9,11,9,11,20
ANDAMARCA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,1,0,1,1
ANTEQUERA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,2,1,2,3
ANZALDO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,9,32,9,32,41
APOLO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,3,0,3,3
ARANI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,6,8,6,8,14
ARBIETO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,16,11,16,11,27
ARQUE,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,1,0,1,1
ATOCHA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,7,6,7,6,13
AYATA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,5,4,5,9
AYO AYO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,7,9,7,9,16
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,8,3,8,3,11
AZURDUY,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,2,2,2,4
BATALLAS,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,10,3,10,13
BELEN DE URMIRI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,8,4,8,4,12
BERMEJO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,21,20,21,20,41
BETANZOS,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,10,9,10,9,19
BOLIVAR,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,7,1,7,8
BOLPEBRA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,0,2,0,2
BOYUIBE,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,0,1,0,1
BUENA VISTA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,1,0,1,1
CABEZAS,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,6,12,6,12,18
CAIROMA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,2,3,2,5
"CAIZA ""D""",atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,1,1,1,2
CAJUATA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,13,0,13,13
CALACOTO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,2,3,2,5
CALAMARCA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,6,22,6,22,28
CAMARGO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,7,15,7,15,22
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,1,0,1,1
CAMIRI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,21,10,21,10,31
CAPINOTA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,18,13,18,13,31
CAQUIAVIRI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,7,6,7,6,13
CARACOLLO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,7,7,7,7,14
CARANAVI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,1,3,1,4
CARAPARI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,7,4,7,4,11
