,group,variable,month,TOTAL PENTAVALENTE 1RA DOSIS DENTRO,TOTAL PENTAVALENTE 1RA DOSIS DENTRO,TOTAL PENTAVALENTE 1RA DOSIS FUERA,TOTAL PENTAVALENTE 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
APOLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,1,0,1,0,2,2
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,1,1,0,1,1,2
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,1,0,2,0,3,3
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,0,1,2,1,2,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,3,0,2,1,5,1,6
COBIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,0,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,27,25,1,0,28,25,53
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,1,0,0,0,1,0,1
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,1,1,1,0,2,1,3
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,1,1,1,1,2,2,4
COTOCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,1,0,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,9,10,4,2,13,12,25
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,1,0,0,0,1,0,1
