,group,variable,month,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,0,5,7,6,7,13
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,12,9,1,1,13,10,23
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,12,10,14,3,26,13,39
AIQUILE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,15,10,7,6,22,16,38
ALCALA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,0,1,3,2,3,5
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,14,11,1,0,15,11,26
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,8,6,1,0,9,6,15
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,0,5,0,5,5
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,0,1,2,2,2,4
ANZALDO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,3,7,7,10,10,20
APOLO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,11,4,2,5,13,9,22
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,0,2,2,3,2,5
ARANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,9,10,0,0,9,10,19
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,10,5,13,12,23,17,40
ARQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,5,5,2,3,7,8,15
