,group,variable,month,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
APOLO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,1,0,1,1,2,1,3
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,0,0,0,1,0,1,1
BAURES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,6,2,0,0,6,2,8
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,3,1,0,0,3,1,4
COBIJA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,13,18,2,0,15,18,33
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,0,0,0,3,0,3,3
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,2,0,0,0,2,0,2
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,1,0,1,0,2,0,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,1,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,3,3,0,0,3,3,6
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,0,0,5,6,5,6,11
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,2,0,0,0,2,0,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,1,0,0,1,1,1,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,5,7,0,0,5,7,12
LORETO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,0,0,0,1,0,1,1
