,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,0,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,0,2,0,2,0,2
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,0,0,1,0,1,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,1,0,0,1,1,1,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,7,7,2,2,9,9,18
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,1,0,2,1,3,1,4
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,0,1,1
COROICO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,3,0,0,0,3,3
COTOCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,2,0,0,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,5,6,0,3,5,9,14
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,2,0,0,0,2,0,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,0,1,1
