,group,variable,month,TOTAL SRP DOSIS ÚNICA DENTRO,TOTAL SRP DOSIS ÚNICA DENTRO,TOTAL SRP DOSIS ÚNICA FUERA,TOTAL SRP DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,0,5,7,6,7,13
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,15,10,6,9,21,19,40
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,15,6,14,3,29,9,38
AIQUILE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,15,10,7,6,22,16,38
ALALAY,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,0,1,0,1,0,1
ALCALA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,0,1,3,2,3,5
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,13,11,1,0,14,11,25
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,10,7,1,0,11,7,18
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,0,0,3,0,3,3
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,0,1,2,2,2,4
ANZALDO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,2,3,1,5,3,8,11
APOLO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,11,5,2,5,13,10,23
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,0,2,2,3,2,5
ARANI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,9,9,1,0,10,9,19
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,12,5,12,12,24,17,41
ARQUE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,5,7,2,4,7,11,18
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,38,22,2,2,40,24,64
