,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,TOTAL ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 3ra dosis,2015-01-01,0,1,1,0,1,1,2
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 3ra dosis,2015-01-01,1,0,0,0,1,0,1
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 3ra dosis,2015-01-01,0,0,1,1,1,1,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 3ra dosis,2015-01-01,0,0,0,3,0,3,3
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 3ra dosis,2015-01-01,1,1,0,0,1,1,2
AYO AYO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 3ra dosis,2015-01-01,0,0,0,1,0,1,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 3ra dosis,2015-01-01,0,1,0,0,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 3ra dosis,2015-01-01,1,1,0,0,1,1,2
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 3ra dosis,2015-01-01,0,0,0,1,0,1,1
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 3ra dosis,2015-01-01,1,0,0,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 3ra dosis,2015-01-01,3,1,0,0,3,1,4
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 3ra dosis,2015-01-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 3ra dosis,2015-01-01,1,0,0,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 3ra dosis,2015-01-01,2,1,0,1,2,2,4
