,group,variable,month,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTAL PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,1,1,1,2,2,4
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,13,5,3,5,16,10,26
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,8,7,5,3,13,10,23
AIQUILE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,2,1,2,7,4,8,12
ALALAY,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,0,0,1,0,1,0,1
ALCALA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,4,0,1,1,5,6
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,7,5,0,0,7,5,12
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,6,4,2,3,8,7,15
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,1,0,0,1,1,1,2
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,2,0,0,0,2,0,2
ANZALDO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,4,1,5,2,9,3,12
APOLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 4ta. dosis (1er. refuerzo),2015-01-01,6,6,1,2,7,8,15
