,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
APOLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,2,4,0,0,2,4,6
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,1,0,1,0,2,2
AYATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,2,2,0,0,2,2,4
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,1,1,0,1,1,2
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,1,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,0,1,2,1,2,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,3,0,2,1,5,1,6
COBIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,1,0,1,0,2,0,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,46,48,1,0,47,48,95
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,1,0,0,0,1,0,1
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,1,1,1,0,2,1,3
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,0,0,2,0,2,2
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,1,1,1,7,2,8,10
