,group,variable,month,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS FALCIPARUM,DE 5 AÑOS Y MÁS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BELLA FLOR,malaria,de 5 anos y mas,2020-01-01,0,2,0,0,0,2,2
CARANAVI,malaria,de 5 anos y mas,2020-01-01,1,0,0,0,1,0,1
COBIJA,malaria,de 5 anos y mas,2020-01-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2020-01-01,25,4,0,0,25,4,29
FILADELFIA,malaria,de 5 anos y mas,2020-01-01,7,3,0,0,7,3,10
GUAYARAMERIN,malaria,de 5 anos y mas,2020-01-01,87,55,0,0,87,55,142
INGAVI (HUMAITA),malaria,de 5 anos y mas,2020-01-01,2,1,0,0,2,1,3
IXIAMAS,malaria,de 5 anos y mas,2020-01-01,28,10,0,0,28,10,38
MACHARETI,malaria,de 5 anos y mas,2020-01-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2020-01-01,11,5,0,0,11,5,16
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2020-01-01,16,6,0,0,16,6,22
PORVENIR,malaria,de 5 anos y mas,2020-01-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2020-01-01,5,5,1,0,6,5,11
PUERTO RICO,malaria,de 5 anos y mas,2020-01-01,42,21,0,0,42,21,63
REYES,malaria,de 5 anos y mas,2020-01-01,2,1,0,0,2,1,3
RIBERALTA,malaria,de 5 anos y mas,2020-01-01,143,123,1,0,144,123,267
RURRENABAQUE,malaria,de 5 anos y mas,2020-01-01,2,0,0,0,2,0,2
SAN BORJA,malaria,de 5 anos y mas,2020-01-01,1,0,0,0,1,0,1
SAN BUENA VENTURA,malaria,de 5 anos y mas,2020-01-01,1,1,0,0,1,1,2
SAN JOAQUIN,malaria,de 5 anos y mas,2020-01-01,5,2,0,0,5,2,7
SAN LORENZO(PND),malaria,de 5 anos y mas,2020-01-01,16,10,0,0,16,10,26
SAN PEDRO(PND),malaria,de 5 anos y mas,2020-01-01,0,1,0,0,0,1,1
