,group,variable,month,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA FALCIPARUM,MUJER EMBARAZADA FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
MACHARETI,malaria,mujer embarazada,2020-01-01,0,0,0,1,0,1,1
PUERTO RICO,malaria,mujer embarazada,2020-01-01,0,2,0,0,0,2,2
RIBERALTA,malaria,mujer embarazada,2020-01-01,0,1,0,0,0,1,1
SENA,malaria,mujer embarazada,2020-01-01,0,3,0,0,0,3,3
VILLA VACA GUZMAN (MUYUPAMPA),malaria,mujer embarazada,2020-01-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2020-02-01,0,3,0,0,0,3,3
COBIJA,malaria,mujer embarazada,2020-03-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,mujer embarazada,2020-03-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2020-03-01,0,4,0,0,0,4,4
SAN LORENZO(PND),malaria,mujer embarazada,2020-03-01,0,1,0,0,0,1,1
SENA,malaria,mujer embarazada,2020-03-01,0,3,0,0,0,3,3
TARIJA,malaria,mujer embarazada,2020-03-01,0,10,0,2,0,12,12
VILLA SERRANO,malaria,mujer embarazada,2020-03-01,0,0,2,0,2,0,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,mujer embarazada,2020-04-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,mujer embarazada,2020-04-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,mujer embarazada,2020-04-01,0,3,0,0,0,3,3
REYES,malaria,mujer embarazada,2020-04-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2020-04-01,0,5,0,0,0,5,5
SENA,malaria,mujer embarazada,2020-04-01,0,4,0,0,0,4,4
SUCRE,malaria,mujer embarazada,2020-04-01,0,3,0,1,0,4,4
COBIJA,malaria,mujer embarazada,2020-05-01,0,0,0,0,0,0,0
EL VILLAR,malaria,mujer embarazada,2020-05-01,0,5,0,0,0,5,5
GUAYARAMERIN,malaria,mujer embarazada,2020-05-01,0,2,0,0,0,2,2
MONTERO,malaria,mujer embarazada,2020-05-01,0,0,0,0,0,0,0
