,group,variable,month,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2020-01-01,1,3,0,0,1,3,4
IXIAMAS,malaria,de 1 a menores de 5 anos,2020-01-01,4,1,0,0,4,1,5
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2020-01-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2020-01-01,1,2,0,0,1,2,3
PUERTO RICO,malaria,de 1 a menores de 5 anos,2020-01-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2020-01-01,9,14,0,0,9,14,23
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2020-01-01,1,2,0,0,1,2,3
SENA,malaria,de 1 a menores de 5 anos,2020-01-01,11,10,1,0,12,10,22
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2020-02-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2020-02-01,2,0,0,0,2,0,2
INGAVI (HUMAITA),malaria,de 1 a menores de 5 anos,2020-02-01,2,2,0,0,2,2,4
IXIAMAS,malaria,de 1 a menores de 5 anos,2020-02-01,6,3,0,0,6,3,9
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2020-02-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2020-02-01,1,1,0,0,1,1,2
PUERTO RICO,malaria,de 1 a menores de 5 anos,2020-02-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2020-02-01,6,3,0,0,6,3,9
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2020-02-01,2,2,0,0,2,2,4
SANTA ROSA,malaria,de 1 a menores de 5 anos,2020-02-01,1,0,0,0,1,0,1
SENA,malaria,de 1 a menores de 5 anos,2020-02-01,7,3,0,0,7,3,10
