municipality,group,variable,month,Pacientes referidos recibidos por el establecimiento,TOTAL
ACHACACHI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,249,249
ACHOCALLA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,2,2
AIQUILE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,7,7
ALTO BENI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,2,2
ANZALDO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,1,1
APOLO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,2,2
ARAMPAMPA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,1,1
ARANI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,3,3
ARBIETO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,45,45
ATOCHA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,109,109
AYOPAYA (V. DE INDEPENDENCIA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,1,1
AZURDUY,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,8,8
BAURES,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,3,3
BERMEJO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,762,762
BETANZOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,3,3
BUENA VISTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,1,1
CABEZAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,19,19
CAIROMA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,2,2
CAMARGO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,112,112
CAMIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,2,2
CAPINOTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,38,38
CARANAVI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,47,47
CARAPARI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,17,17
CARIPUYO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,2,2
CHALLAPATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,6,6
CHARAGUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,69,69
CHAYANTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,5,5
CHIMORE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,30,30
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,52,52
CHUQUIHUTA AYLLU JUCUMANI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,19,19
CKOCHAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,2,2
CLIZA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,136,136
COBIJA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,98,98
COCHABAMBA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,7061,7061
COLCAPIRHUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,47,47
COLOMI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,4,4
COLQUECHACA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,3,3
COMANCHE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,68,68
CORO CORO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,1,1
COROICO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,156,156
COTAGAITA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,12,12
COTOCA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,38,38
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,37,37
CUEVO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,1,1
CULPINA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,7,7
CURVA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,4944,4944
EL PUENTE(STC),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,2,2
EL TORNO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,311,311
ENTRE RIOS TRJ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,6,6
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,46,46
ESCOMA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,7,7
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,4,4
GAIOC JATUN AYLLU YURA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,3,3
GENERAL SAAVEDRA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,16,16
GRAL. J.J. PEREZ (CHARAZANI),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,1,1
GUANAY,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,10,10
GUAYARAMERIN,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,80,80
HUACARETA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,1,1
HUANUNI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,516,516
ICLA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,3,3
INCAHUASI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,12,12
IRUPANA (VILLA DE LANZA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2023-01-01,8,8
