municipality,group,variable,month,Pacientes referidos del establecimiento a la medicina tradicional,TOTAL
AZURDUY,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-01-01,2,2
COMARAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-01-01,1,1
GUAYARAMERIN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-01-01,2,2
ICLA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-01-01,2,2
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-01-01,2,2
RIBERALTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-01-01,1,1
SAN JOAQUIN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-01-01,3,3
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-01-01,9,9
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-01-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-01-01,3,3
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-01-01,2,2
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-02-01,1,1
SAN JOAQUIN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-02-01,1,1
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-02-01,1,1
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-02-01,8,8
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-02-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-03-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-03-01,1,1
COTOCA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-03-01,2,2
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-03-01,3,3
GUAYARAMERIN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-03-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-03-01,1,1
SAN JOAQUIN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-03-01,2,2
