municipality,group,variable,month,Pacientes referidos a otros establecimientos,TOTAL
ACACIO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,2,2
ACHACACHI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,160,160
ACHOCALLA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,3,3
AIQUILE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,72,72
ALALAY,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,1,1
ALCALA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,48,48
ALTO BENI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,8,8
ANCORAIMES,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,4,4
ANTEQUERA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,5,5
ANZALDO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,6,6
APOLO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,17,17
ARANI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,44,44
ARBIETO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,24,24
ARQUE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,4,4
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,57,57
ATOCHA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,168,168
AYATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,5,5
AYO AYO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,15,15
AYOPAYA (V. DE INDEPENDENCIA),refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,56,56
AZURDUY,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,34,34
BATALLAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,66,66
BAURES,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,2,2
BELEN DE ANDAMARCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,2,2
BELLA FLOR,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,9,9
BERMEJO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,690,690
BETANZOS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,75,75
BOLIVAR,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,2,2
BOLPEBRA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,2,2
BOYUIBE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,13,13
BUENA VISTA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,59,59
CABEZAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,64,64
CAIROMA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,5,5
"CAIZA ""D""",refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,11,11
CAJUATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,38,38
CALACOTO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,4,4
CALAMARCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,18,18
CAMARGO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2023-01-01,53,53
