municipality,group,variable,month,Pacientes contrareferidos al establecimiento,TOTAL
AIQUILE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,4,4
ALCALA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,16,16
ARBIETO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,3,3
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,32,32
ATOCHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,10,10
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,30,30
BUENA VISTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,2,2
"CAIZA ""D""",refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
CAJUATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,3,3
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,10,10
CAPINOTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
CARACOLLO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,4,4
CARAPARI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
CHALLAPATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,4,4
CHARAGUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,2,2
CHIMORE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
CKOCHAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,2,2
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,36,36
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,573,573
COLCAPIRHUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
COLQUIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
COMARAPA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,3,3
CONCEPCION,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,3,3
CORIPATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,14,14
COROICO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,11,11
COTAGAITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,20,20
