municipality,group,variable,month,PCD referidos a Servicios/Centros de Rehabilitación,TOTAL
ACHOCALLA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-01-01,1,1
CARACOLLO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-01-01,49,49
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-01-01,5,5
GUANAY,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-01-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-01-01,6,6
POTOSI,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-01-01,1,1
SAN BORJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-01-01,13,13
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-01-01,2,2
TRINIDAD,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-01-01,1,1
WALDO BALLIVIAN,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-01-01,2,2
BERMEJO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-02-01,1,1
CARACOLLO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-02-01,20,20
COTOCA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-02-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-02-01,2,2
GUANAY,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-02-01,1,1
LLALLAGUA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-02-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-02-01,1,1
ORURO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-02-01,1,1
SAN BORJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-02-01,13,13
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-02-01,1,1
SANTIAGO DE HUARI,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-02-01,1,1
TARACO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-02-01,1,1
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-02-01,6,6
VACAS,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-02-01,1,1
BERMEJO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-03-01,4,4
CARACOLLO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-03-01,36,36
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-03-01,17,17
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-03-01,3,3
ORURO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-03-01,1,1
RIBERALTA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-03-01,1,1
RURRENABAQUE,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-03-01,1,1
SAN BORJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-03-01,10,10
