municipality,group,variable,month,PCD referidas a Unidades de Calificación de Discapacidad.,TOTAL
AZURDUY,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-01-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-01-01,3,3
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-01-01,9,9
EL PUENTE(TJA),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-01-01,3,3
EL TORNO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-01-01,4,4
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-01-01,8,8
MOCOMOCO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-01-01,1,1
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-01-01,4,4
MOROCHATA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-01-01,2,2
PORONGO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-01-01,18,18
POTOSI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-01-01,4,4
RIBERALTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-01-01,3,3
SAN BORJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-01-01,22,22
SAN JOAQUIN,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-01-01,3,3
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-01-01,2,2
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-01-01,3,3
TIQUIPAYA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-01-01,1,1
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-01-01,23,23
ANZALDO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,3,3
AZURDUY,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,1,1
BETANZOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,3,3
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,17,17
EL PUENTE(TJA),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,1,1
EL TORNO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,1,1
HUACARETA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,6,6
MOCOMOCO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,1,1
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,4,4
PADCAYA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,1,1
PALCA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,1,1
PALOS BLANCOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,1,1
PUERTO CARABUCO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,1,1
ROBORE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,1,1
SACABA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,3,3
SAN BORJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,21,21
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,3,3
TARVITA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,2,2
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,22,22
WARNES,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-02-01,48,48
ACHACACHI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-03-01,41,41
AZURDUY,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-03-01,17,17
BETANZOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-03-01,1,1
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-03-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-03-01,3,3
CKOCHAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-03-01,5,5
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-03-01,3,3
COTOCA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-03-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-03-01,14,14
ENTRE RIOS TRJ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-03-01,2,2
GUAYARAMERIN,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-03-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-03-01,6,6
LAJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-03-01,2,2
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-03-01,2,2
MOROCHATA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-03-01,1,1
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-03-01,5,5
PAILON,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-03-01,1,1
POTOSI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-03-01,12,12
RIBERALTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2023-03-01,2,2
