municipality,group,variable,month,Vacunaciones SRP dentro de servicio,TOTAL
ACHACACHI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,13,13
ACHOCALLA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
AIQUILE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,19,19
ALALAY,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,4,4
ALCALA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,4,4
ANCORAIMES,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
ANTEQUERA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,4,4
ANZALDO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
APOLO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,9,9
ARAMPAMPA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
ARANI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
ARBIETO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,6,6
ARQUE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,13,13
ASCENCION DE GUARAYOS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,28,28
ATOCHA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,7,7
AYATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
AYO AYO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,18,18
AZURDUY,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,11,11
BATALLAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,11,11
BAURES,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,6,6
BERMEJO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,49,49
BETANZOS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,9,9
BOLIVAR,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
BOYUIBE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
BUENA VISTA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,11,11
CABEZAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,17,17
CAIROMA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,4,4
"CAIZA ""D""",vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
CAJUATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,15,15
CALACOTO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
CALAMARCA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,15,15
CAMARGO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,17,17
CAMATAQUI (C. VILLA ABECIA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
CAMIRI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,38,38
CAPINOTA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,20,20
CAQUIAVIRI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,6,6
CARACOLLO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,11,11
CARANAVI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,39,39
CARAPARI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,10,10
CARMEN RIVERO TORREZ,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
CATACORA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
CHALLAPATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,12,12
CHAQUI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
CHARAGUA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,19,19
CHAYANTA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,11,11
CHIMORE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,18,18
CHIPAYA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,7,7
CHUMA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,4,4
CLIZA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,24,24
COBIJA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,56,56
COCHABAMBA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1145,1145
COIPASA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
COLCAPIRHUA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,85,85
"COLCHA ""K""",vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,5,5
COLOMI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,18,18
COLPA BELGICA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,13,13
COLQUECHACA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,10,10
COLQUENCHA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
COLQUIRI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,26,26
COMARAPA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,25,25
