municipality,group,variable,month,N° de CAI de establecimiento,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,2,2
ACHACACHI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,6,6
ACHOCALLA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,2,2
ANCORAIMES,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,2,2
ANZALDO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,1,1
APOLO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,5,5
ARAMPAMPA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,2,2
ARANI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,4,4
ARBIETO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,1,1
ATOCHA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,1,1
AUCAPATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,6,6
AYATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,1,1
BATALLAS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,2,2
BUENA VISTA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,3,3
CABEZAS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,2,2
CAJUATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,4,4
CAPINOTA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,1,1
CARANAVI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,3,3
CARIPUYO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,3,3
CHACARILLA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,1,1
CHALLAPATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,3,3
CHAQUI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,1,1
CHARAGUA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2016-01-01,3,3
