municipality,group,variable,month,Nº de actividades educativas en Salud,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,5,5
ACHACACHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,8,8
ALALAY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,1,1
ALCALA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,23,23
ALTO BENI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,3,3
ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,8,8
ANZALDO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,8,8
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,5,5
ARQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,4,4
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,15,15
ATOCHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,2,2
AZURDUY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,7,7
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,6,6
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,3,3
BETANZOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,20,20
BOYUIBE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,2,2
BUENA VISTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,7,7
CABEZAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,13,13
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,35,35
CALAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,7,7
CAMARGO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,27,27
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,21,21
CAPINOTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,50,50
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,25,25
CARACOLLO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,2,2
CARANAVI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,20,20
CARAPARI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,3,3
CATACORA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,20,20
CHALLAPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,3,3
CHAQUI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,7,7
CHARAGUA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,5,5
CHIMORE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,80,80
CHIPAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,22,22
CHOQUE COTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,1,1
CHUA COCANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,13,13
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,18,18
CLIZA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,23,23
COBIJA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,5,5
COCAPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2016-01-01,63,63
