municipality,group,variable,month,N° de auditorias internas en salud en aplicación de norma técnica,TOTAL
BERMEJO,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2016-01-01,2,2
COCHABAMBA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2016-01-01,4,4
EL TORNO,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2016-01-01,1,1
ICLA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2016-01-01,13,13
LA PAZ,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2016-01-01,2,2
MOJOCOYA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2016-01-01,6,6
PADILLA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2016-01-01,2,2
POCONA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2016-01-01,1,1
PRESTO,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2016-01-01,5,5
PUNA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2016-01-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2016-01-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2016-01-01,3,3
TACOPAYA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2016-01-01,1,1
TARABUCO,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2016-01-01,12,12
TARIJA,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2016-01-01,4,4
TOCO,actividades del establecimiento y con la comunidad,n de auditorias internas en salud en aplicacion de norma tecnica,2016-01-01,11,11
