municipality,group,variable,month,Nº de quejas y reclamos realizadas por los usuarios,TOTAL
ALTO BENI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,1,1
CLIZA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,6,6
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,26,26
EL TORNO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,1,1
IXIAMAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,9,9
MOROCHATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,2,2
POCONA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,12,12
PUNATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,2,2
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,5,5
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,4,4
SAN LUCAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,2,2
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,4,4
TARIJA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,1,1
TRINIDAD,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,2,2
VALLEGRANDE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,14,14
VIACHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,6,6
VILLA NUEVA (LOMA ALTA),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,15,15
YACUIBA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,1,1
YAPACANI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-01-01,5,5
CAPINOTA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,1,1
CHIMORE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,2,2
CKOCHAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,2,2
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,23,23
EL TORNO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,24,24
LAJA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,2,2
MOROCHATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,4,4
POCONA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,2,2
PORONGO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,3,3
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,1,1
SAN BENITO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,1,1
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,3,3
SAN LUCAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,34,34
SAN MATIAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,3,3
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,6,6
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,4,4
TACOPAYA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,1,1
TARATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,4,4
TIPUANI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,1,1
TORO TORO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,2,2
VIACHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-02-01,1,1
ARBIETO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-03-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-03-01,1,1
CHIMORE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-03-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-03-01,1,1
CLIZA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-03-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-03-01,4,4
COLPA BELGICA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-03-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-03-01,3,3
COTOCA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-03-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-03-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-03-01,11,11
EL TORNO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-03-01,1,1
HUANUNI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-03-01,4,4
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-03-01,24,24
LAGUNILLAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-03-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-03-01,1,1
MOROCHATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2016-03-01,1,1
