municipality,group,variable,month,Nº de visitas familiares realizadas,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,218,218
ACHOCALLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,45,45
AIQUILE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,275,275
ALALAY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,31,31
ALCALA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,14,14
ANDAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,35,35
ANTEQUERA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,48,48
ANZALDO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,23,23
APOLO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,3,3
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,61,61
ARANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,22,22
ARBIETO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,73,73
ARQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,31,31
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,237,237
ATOCHA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,27,27
AUCAPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,1,1
AYATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,13,13
AYO AYO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,22,22
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,1,1
AZURDUY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,190,190
BATALLAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,18,18
BAURES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,18,18
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,76,76
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,59,59
BERMEJO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,47,47
BETANZOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,337,337
BOYUIBE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,711,711
BUENA VISTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,212,212
CABEZAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,112,112
CAIROMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,19,19
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,119,119
CALAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,103,103
CAMARGO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,189,189
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,50,50
CAMIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,265,265
CAPINOTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,79,79
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,42,42
CARACOLLO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,479,479
CARANAVI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,17,17
CARAPARI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,83,83
CARIPUYO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,37,37
CATACORA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,8,8
CHALLAPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,512,512
CHAQUI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,115,115
CHARAGUA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,32,32
CHAYANTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,33,33
CHIMORE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,117,117
CHIPAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,15,15
CHOQUE COTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,16,16
CHUA COCANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,31,31
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,9,9
CHUMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,160,160
