municipality,group,variable,month,N°de visitas familiares planificadas,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,122,122
ACHOCALLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,30,30
AIQUILE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,348,348
ALCALA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,14,14
ANDAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,25,25
ANTEQUERA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,63,63
APOLO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,3,3
ARAMPAMPA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,52,52
ARANI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,21,21
ARBIETO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,60,60
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,46,46
ATOCHA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,17,17
AYO AYO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,40,40
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,1,1
AZURDUY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,187,187
BATALLAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,18,18
BAURES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,5,5
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,89,89
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,10,10
BERMEJO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,3,3
BETANZOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,200,200
BOYUIBE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,72,72
BUENA VISTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,184,184
CABEZAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,145,145
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,175,175
CALAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,148,148
CAMARGO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,167,167
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,42,42
CAMIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,242,242
CAPINOTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,6,6
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,4,4
CARACOLLO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,65,65
CARAPARI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,23,23
CARIPUYO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,6,6
CATACORA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,4,4
CHALLAPATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,462,462
CHAQUI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,83,83
CHARAGUA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,10,10
CHAYANTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,11,11
CHIMORE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,135,135
CHUMA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,10,10
CKOCHAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,12,12
CLIZA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,18,18
COBIJA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2016-01-01,680,680
