municipality,group,variable,month,Otras actividades,TOTAL
ACACIO,otras actividades de enfermeria,otras actividades,2019-01-01,4,4
ACHACACHI,otras actividades de enfermeria,otras actividades,2019-01-01,45,45
ACHOCALLA,otras actividades de enfermeria,otras actividades,2019-01-01,13,13
AIQUILE,otras actividades de enfermeria,otras actividades,2019-01-01,90,90
ALALAY,otras actividades de enfermeria,otras actividades,2019-01-01,5,5
ALCALA,otras actividades de enfermeria,otras actividades,2019-01-01,8,8
ALTO BENI,otras actividades de enfermeria,otras actividades,2019-01-01,6,6
ANCORAIMES,otras actividades de enfermeria,otras actividades,2019-01-01,73,73
ANDAMARCA,otras actividades de enfermeria,otras actividades,2019-01-01,38,38
ANZALDO,otras actividades de enfermeria,otras actividades,2019-01-01,5,5
APOLO,otras actividades de enfermeria,otras actividades,2019-01-01,1141,1141
ARAMPAMPA,otras actividades de enfermeria,otras actividades,2019-01-01,3,3
ARANI,otras actividades de enfermeria,otras actividades,2019-01-01,9,9
ARBIETO,otras actividades de enfermeria,otras actividades,2019-01-01,1,1
ARQUE,otras actividades de enfermeria,otras actividades,2019-01-01,2,2
ASCENCION DE GUARAYOS,otras actividades de enfermeria,otras actividades,2019-01-01,999,999
ATOCHA,otras actividades de enfermeria,otras actividades,2019-01-01,5552,5552
AYATA,otras actividades de enfermeria,otras actividades,2019-01-01,1,1
AYO AYO,otras actividades de enfermeria,otras actividades,2019-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,otras actividades,2019-01-01,17,17
AZURDUY,otras actividades de enfermeria,otras actividades,2019-01-01,16,16
BATALLAS,otras actividades de enfermeria,otras actividades,2019-01-01,1,1
BAURES,otras actividades de enfermeria,otras actividades,2019-01-01,248,248
BELLA FLOR,otras actividades de enfermeria,otras actividades,2019-01-01,52,52
BERMEJO,otras actividades de enfermeria,otras actividades,2019-01-01,2656,2656
BETANZOS,otras actividades de enfermeria,otras actividades,2019-01-01,245,245
BOLPEBRA,otras actividades de enfermeria,otras actividades,2019-01-01,34,34
BOYUIBE,otras actividades de enfermeria,otras actividades,2019-01-01,43,43
BUENA VISTA,otras actividades de enfermeria,otras actividades,2019-01-01,165,165
CABEZAS,otras actividades de enfermeria,otras actividades,2019-01-01,364,364
CAIROMA,otras actividades de enfermeria,otras actividades,2019-01-01,2,2
"CAIZA ""D""",otras actividades de enfermeria,otras actividades,2019-01-01,275,275
CAJUATA,otras actividades de enfermeria,otras actividades,2019-01-01,14,14
CALACOTO,otras actividades de enfermeria,otras actividades,2019-01-01,7,7
CALAMARCA,otras actividades de enfermeria,otras actividades,2019-01-01,21,21
CAMARGO,otras actividades de enfermeria,otras actividades,2019-01-01,2404,2404
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,otras actividades,2019-01-01,5,5
CAMIRI,otras actividades de enfermeria,otras actividades,2019-01-01,18767,18767
CAPINOTA,otras actividades de enfermeria,otras actividades,2019-01-01,54,54
CAQUIAVIRI,otras actividades de enfermeria,otras actividades,2019-01-01,10,10
CARACOLLO,otras actividades de enfermeria,otras actividades,2019-01-01,107,107
CARANAVI,otras actividades de enfermeria,otras actividades,2019-01-01,9207,9207
CARAPARI,otras actividades de enfermeria,otras actividades,2019-01-01,568,568
CARMEN RIVERO TORREZ,otras actividades de enfermeria,otras actividades,2019-01-01,16,16
CHALLAPATA,otras actividades de enfermeria,otras actividades,2019-01-01,5678,5678
CHAQUI,otras actividades de enfermeria,otras actividades,2019-01-01,7,7
CHARAGUA,otras actividades de enfermeria,otras actividades,2019-01-01,729,729
CHARAÑA,otras actividades de enfermeria,otras actividades,2019-01-01,3,3
CHAYANTA,otras actividades de enfermeria,otras actividades,2019-01-01,142,142
CHIMORE,otras actividades de enfermeria,otras actividades,2019-01-01,915,915
CHIPAYA,otras actividades de enfermeria,otras actividades,2019-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,otras actividades,2019-01-01,1684,1684
CHUMA,otras actividades de enfermeria,otras actividades,2019-01-01,18,18
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,otras actividades,2019-01-01,4,4
CKOCHAS,otras actividades de enfermeria,otras actividades,2019-01-01,8,8
CLIZA,otras actividades de enfermeria,otras actividades,2019-01-01,722,722
COBIJA,otras actividades de enfermeria,otras actividades,2019-01-01,1458,1458
COCAPATA,otras actividades de enfermeria,otras actividades,2019-01-01,23,23
COCHABAMBA,otras actividades de enfermeria,otras actividades,2019-01-01,73779,73779
COLCAPIRHUA,otras actividades de enfermeria,otras actividades,2019-01-01,4593,4593
"COLCHA ""K""",otras actividades de enfermeria,otras actividades,2019-01-01,158,158
COLLANA,otras actividades de enfermeria,otras actividades,2019-01-01,2,2
COLOMI,otras actividades de enfermeria,otras actividades,2019-01-01,53,53
COLPA BELGICA,otras actividades de enfermeria,otras actividades,2019-01-01,79,79
COLQUECHACA,otras actividades de enfermeria,otras actividades,2019-01-01,10,10
COLQUENCHA,otras actividades de enfermeria,otras actividades,2019-01-01,2,2
COLQUIRI,otras actividades de enfermeria,otras actividades,2019-01-01,8,8
COMANCHE,otras actividades de enfermeria,otras actividades,2019-01-01,1,1
COMARAPA,otras actividades de enfermeria,otras actividades,2019-01-01,4,4
COMBAYA,otras actividades de enfermeria,otras actividades,2019-01-01,8,8
CONCEPCION,otras actividades de enfermeria,otras actividades,2019-01-01,164,164
COPACABANA,otras actividades de enfermeria,otras actividades,2019-01-01,7,7
CORIPATA,otras actividades de enfermeria,otras actividades,2019-01-01,7,7
CORO CORO,otras actividades de enfermeria,otras actividades,2019-01-01,4,4
COROICO,otras actividades de enfermeria,otras actividades,2019-01-01,22179,22179
CORQUE,otras actividades de enfermeria,otras actividades,2019-01-01,41,41
COTAGAITA,otras actividades de enfermeria,otras actividades,2019-01-01,1069,1069
COTOCA,otras actividades de enfermeria,otras actividades,2019-01-01,3512,3512
CRUZ DE MACHACAMARCA,otras actividades de enfermeria,otras actividades,2019-01-01,1,1
CUATRO CAÑADAS,otras actividades de enfermeria,otras actividades,2019-01-01,257,257
CUEVO,otras actividades de enfermeria,otras actividades,2019-01-01,6,6
CULPINA,otras actividades de enfermeria,otras actividades,2019-01-01,342,342
CURAHUARA DE CARANGAS,otras actividades de enfermeria,otras actividades,2019-01-01,23,23
CURVA,otras actividades de enfermeria,otras actividades,2019-01-01,38,38
DESAGUADERO,otras actividades de enfermeria,otras actividades,2019-01-01,1,1
EL ALTO,otras actividades de enfermeria,otras actividades,2019-01-01,437505,437505
EL CHORO,otras actividades de enfermeria,otras actividades,2019-01-01,1,1
EL PUENTE(STC),otras actividades de enfermeria,otras actividades,2019-01-01,49,49
EL PUENTE(TJA),otras actividades de enfermeria,otras actividades,2019-01-01,9,9
EL TORNO,otras actividades de enfermeria,otras actividades,2019-01-01,13005,13005
EL VILLAR,otras actividades de enfermeria,otras actividades,2019-01-01,52,52
ENTRE RIOS TRJ,otras actividades de enfermeria,otras actividades,2019-01-01,5579,5579
ENTRE RIOS CBBA,otras actividades de enfermeria,otras actividades,2019-01-01,174,174
ESCOMA,otras actividades de enfermeria,otras actividades,2019-01-01,17,17
EUCALIPTUS,otras actividades de enfermeria,otras actividades,2019-01-01,4,4
EXALTACION,otras actividades de enfermeria,otras actividades,2019-01-01,3,3
FERNANDEZ ALONSO,otras actividades de enfermeria,otras actividades,2019-01-01,104,104
FILADELFIA,otras actividades de enfermeria,otras actividades,2019-01-01,7,7
GENERAL SAAVEDRA,otras actividades de enfermeria,otras actividades,2019-01-01,173,173
GRAL. J.J. PEREZ (CHARAZANI),otras actividades de enfermeria,otras actividades,2019-01-01,2,2
GUANAY,otras actividades de enfermeria,otras actividades,2019-01-01,8,8
GUAQUI,otras actividades de enfermeria,otras actividades,2019-01-01,10,10
GUAYARAMERIN,otras actividades de enfermeria,otras actividades,2019-01-01,81759,81759
GUTIERREZ,otras actividades de enfermeria,otras actividades,2019-01-01,8,8
HUACARETA,otras actividades de enfermeria,otras actividades,2019-01-01,64,64
HUACAYA (VILLA DE HUACAYA),otras actividades de enfermeria,otras actividades,2019-01-01,14,14
HUACHACALLA,otras actividades de enfermeria,otras actividades,2019-01-01,3,3
HUANUNI,otras actividades de enfermeria,otras actividades,2019-01-01,31751,31751
HUARACAJE,otras actividades de enfermeria,otras actividades,2019-01-01,13,13
HUARINA,otras actividades de enfermeria,otras actividades,2019-01-01,1,1
HUATAJATA,otras actividades de enfermeria,otras actividades,2019-01-01,1,1
