municipality,group,variable,month,Sueros,TOTAL
ACACIO,otras actividades de enfermeria,sueros,2019-01-01,16,16
ACHACACHI,otras actividades de enfermeria,sueros,2019-01-01,103,103
ACHOCALLA,otras actividades de enfermeria,sueros,2019-01-01,21,21
AIQUILE,otras actividades de enfermeria,sueros,2019-01-01,105,105
ALALAY,otras actividades de enfermeria,sueros,2019-01-01,3,3
ALCALA,otras actividades de enfermeria,sueros,2019-01-01,15,15
ALTO BENI,otras actividades de enfermeria,sueros,2019-01-01,6,6
ANCORAIMES,otras actividades de enfermeria,sueros,2019-01-01,8,8
ANDAMARCA,otras actividades de enfermeria,sueros,2019-01-01,12,12
ANZALDO,otras actividades de enfermeria,sueros,2019-01-01,24,24
APOLO,otras actividades de enfermeria,sueros,2019-01-01,22,22
ARAMPAMPA,otras actividades de enfermeria,sueros,2019-01-01,3,3
ARANI,otras actividades de enfermeria,sueros,2019-01-01,8,8
ARBIETO,otras actividades de enfermeria,sueros,2019-01-01,4,4
ARQUE,otras actividades de enfermeria,sueros,2019-01-01,9,9
ASCENCION DE GUARAYOS,otras actividades de enfermeria,sueros,2019-01-01,603,603
ATOCHA,otras actividades de enfermeria,sueros,2019-01-01,97,97
AUCAPATA,otras actividades de enfermeria,sueros,2019-01-01,4,4
AYATA,otras actividades de enfermeria,sueros,2019-01-01,7,7
AYO AYO,otras actividades de enfermeria,sueros,2019-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,sueros,2019-01-01,60,60
AZURDUY,otras actividades de enfermeria,sueros,2019-01-01,50,50
BATALLAS,otras actividades de enfermeria,sueros,2019-01-01,5,5
BAURES,otras actividades de enfermeria,sueros,2019-01-01,95,95
BELLA FLOR,otras actividades de enfermeria,sueros,2019-01-01,28,28
BERMEJO,otras actividades de enfermeria,sueros,2019-01-01,1532,1532
BETANZOS,otras actividades de enfermeria,sueros,2019-01-01,77,77
BOLIVAR,otras actividades de enfermeria,sueros,2019-01-01,2,2
BOLPEBRA,otras actividades de enfermeria,sueros,2019-01-01,3,3
BOYUIBE,otras actividades de enfermeria,sueros,2019-01-01,65,65
BUENA VISTA,otras actividades de enfermeria,sueros,2019-01-01,74,74
CABEZAS,otras actividades de enfermeria,sueros,2019-01-01,214,214
CAIROMA,otras actividades de enfermeria,sueros,2019-01-01,13,13
"CAIZA ""D""",otras actividades de enfermeria,sueros,2019-01-01,28,28
CAJUATA,otras actividades de enfermeria,sueros,2019-01-01,27,27
CALACOTO,otras actividades de enfermeria,sueros,2019-01-01,5,5
CALAMARCA,otras actividades de enfermeria,sueros,2019-01-01,13,13
CAMARGO,otras actividades de enfermeria,sueros,2019-01-01,436,436
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,sueros,2019-01-01,36,36
CAMIRI,otras actividades de enfermeria,sueros,2019-01-01,2084,2084
CAPINOTA,otras actividades de enfermeria,sueros,2019-01-01,62,62
CAQUIAVIRI,otras actividades de enfermeria,sueros,2019-01-01,3,3
CARACOLLO,otras actividades de enfermeria,sueros,2019-01-01,37,37
CARANAVI,otras actividades de enfermeria,sueros,2019-01-01,688,688
CARAPARI,otras actividades de enfermeria,sueros,2019-01-01,76,76
CARIPUYO,otras actividades de enfermeria,sueros,2019-01-01,13,13
CARMEN RIVERO TORREZ,otras actividades de enfermeria,sueros,2019-01-01,19,19
CATACORA,otras actividades de enfermeria,sueros,2019-01-01,4,4
CHALLAPATA,otras actividades de enfermeria,sueros,2019-01-01,238,238
CHAQUI,otras actividades de enfermeria,sueros,2019-01-01,19,19
CHARAGUA,otras actividades de enfermeria,sueros,2019-01-01,290,290
CHAYANTA,otras actividades de enfermeria,sueros,2019-01-01,33,33
CHIMORE,otras actividades de enfermeria,sueros,2019-01-01,122,122
CHUA COCANI,otras actividades de enfermeria,sueros,2019-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,sueros,2019-01-01,325,325
CHUMA,otras actividades de enfermeria,sueros,2019-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,sueros,2019-01-01,22,22
CKOCHAS,otras actividades de enfermeria,sueros,2019-01-01,24,24
CLIZA,otras actividades de enfermeria,sueros,2019-01-01,15,15
COBIJA,otras actividades de enfermeria,sueros,2019-01-01,1114,1114
COCAPATA,otras actividades de enfermeria,sueros,2019-01-01,21,21
COCHABAMBA,otras actividades de enfermeria,sueros,2019-01-01,18317,18317
COLCAPIRHUA,otras actividades de enfermeria,sueros,2019-01-01,861,861
"COLCHA ""K""",otras actividades de enfermeria,sueros,2019-01-01,34,34
COLLANA,otras actividades de enfermeria,sueros,2019-01-01,5,5
COLOMI,otras actividades de enfermeria,sueros,2019-01-01,50,50
COLPA BELGICA,otras actividades de enfermeria,sueros,2019-01-01,48,48
COLQUECHACA,otras actividades de enfermeria,sueros,2019-01-01,21,21
COLQUENCHA,otras actividades de enfermeria,sueros,2019-01-01,10,10
COLQUIRI,otras actividades de enfermeria,sueros,2019-01-01,27,27
COMANCHE,otras actividades de enfermeria,sueros,2019-01-01,3,3
COMARAPA,otras actividades de enfermeria,sueros,2019-01-01,113,113
CONCEPCION,otras actividades de enfermeria,sueros,2019-01-01,216,216
COPACABANA,otras actividades de enfermeria,sueros,2019-01-01,19,19
CORIPATA,otras actividades de enfermeria,sueros,2019-01-01,15,15
