municipality,group,variable,month,Total 7.2 Inyectables,TOTAL
ACACIO,otras actividades de enfermeria, inyectables,2014-01-01,116,116
ACHACACHI,otras actividades de enfermeria, inyectables,2014-01-01,995,995
ACHOCALLA,otras actividades de enfermeria, inyectables,2014-01-01,164,164
AIQUILE,otras actividades de enfermeria, inyectables,2014-01-01,1238,1238
ALALAY,otras actividades de enfermeria, inyectables,2014-01-01,46,46
ALCALA,otras actividades de enfermeria, inyectables,2014-01-01,234,234
ALTO BENI,otras actividades de enfermeria, inyectables,2014-01-01,288,288
ANCORAIMES,otras actividades de enfermeria, inyectables,2014-01-01,195,195
ANDAMARCA,otras actividades de enfermeria, inyectables,2014-01-01,219,219
ANTEQUERA,otras actividades de enfermeria, inyectables,2014-01-01,75,75
ANZALDO,otras actividades de enfermeria, inyectables,2014-01-01,162,162
APOLO,otras actividades de enfermeria, inyectables,2014-01-01,492,492
ARAMPAMPA,otras actividades de enfermeria, inyectables,2014-01-01,60,60
ARANI,otras actividades de enfermeria, inyectables,2014-01-01,182,182
ARBIETO,otras actividades de enfermeria, inyectables,2014-01-01,204,204
ARQUE,otras actividades de enfermeria, inyectables,2014-01-01,230,230
ASCENCION DE GUARAYOS,otras actividades de enfermeria, inyectables,2014-01-01,5265,5265
ATOCHA,otras actividades de enfermeria, inyectables,2014-01-01,3775,3775
AUCAPATA,otras actividades de enfermeria, inyectables,2014-01-01,144,144
AYATA,otras actividades de enfermeria, inyectables,2014-01-01,151,151
AYO AYO,otras actividades de enfermeria, inyectables,2014-01-01,80,80
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria, inyectables,2014-01-01,813,813
AZURDUY,otras actividades de enfermeria, inyectables,2014-01-01,333,333
BATALLAS,otras actividades de enfermeria, inyectables,2014-01-01,362,362
BAURES,otras actividades de enfermeria, inyectables,2014-01-01,615,615
BELEN DE ANDAMARCA,otras actividades de enfermeria, inyectables,2014-01-01,49,49
BELEN DE URMIRI,otras actividades de enfermeria, inyectables,2014-01-01,18,18
BELLA FLOR,otras actividades de enfermeria, inyectables,2014-01-01,160,160
BERMEJO,otras actividades de enfermeria, inyectables,2014-01-01,8989,8989
BETANZOS,otras actividades de enfermeria, inyectables,2014-01-01,1535,1535
BOLIVAR,otras actividades de enfermeria, inyectables,2014-01-01,94,94
BOLPEBRA,otras actividades de enfermeria, inyectables,2014-01-01,108,108
BOYUIBE,otras actividades de enfermeria, inyectables,2014-01-01,374,374
BUENA VISTA,otras actividades de enfermeria, inyectables,2014-01-01,291,291
CABEZAS,otras actividades de enfermeria, inyectables,2014-01-01,2035,2035
CAIROMA,otras actividades de enfermeria, inyectables,2014-01-01,478,478
"CAIZA ""D""",otras actividades de enfermeria, inyectables,2014-01-01,397,397
CAJUATA,otras actividades de enfermeria, inyectables,2014-01-01,371,371
CALACOTO,otras actividades de enfermeria, inyectables,2014-01-01,91,91
CALAMARCA,otras actividades de enfermeria, inyectables,2014-01-01,366,366
CAMARGO,otras actividades de enfermeria, inyectables,2014-01-01,2434,2434
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria, inyectables,2014-01-01,45,45
CAMIRI,otras actividades de enfermeria, inyectables,2014-01-01,8513,8513
CAPINOTA,otras actividades de enfermeria, inyectables,2014-01-01,883,883
CAQUIAVIRI,otras actividades de enfermeria, inyectables,2014-01-01,145,145
CARACOLLO,otras actividades de enfermeria, inyectables,2014-01-01,603,603
CARANAVI,otras actividades de enfermeria, inyectables,2014-01-01,4233,4233
CARANGAS,otras actividades de enfermeria, inyectables,2014-01-01,23,23
CARAPARI,otras actividades de enfermeria, inyectables,2014-01-01,1776,1776
CARIPUYO,otras actividades de enfermeria, inyectables,2014-01-01,77,77
CARMEN RIVERO TORREZ,otras actividades de enfermeria, inyectables,2014-01-01,361,361
CATACORA,otras actividades de enfermeria, inyectables,2014-01-01,22,22
CHACARILLA,otras actividades de enfermeria, inyectables,2014-01-01,26,26
CHALLAPATA,otras actividades de enfermeria, inyectables,2014-01-01,1579,1579
CHAQUI,otras actividades de enfermeria, inyectables,2014-01-01,367,367
CHARAGUA,otras actividades de enfermeria, inyectables,2014-01-01,1550,1550
CHARAÑA,otras actividades de enfermeria, inyectables,2014-01-01,60,60
CHAYANTA,otras actividades de enfermeria, inyectables,2014-01-01,408,408
CHIMORE,otras actividades de enfermeria, inyectables,2014-01-01,939,939
CHIPAYA,otras actividades de enfermeria, inyectables,2014-01-01,17,17
CHOQUE COTA,otras actividades de enfermeria, inyectables,2014-01-01,49,49
CHUA COCANI,otras actividades de enfermeria, inyectables,2014-01-01,93,93
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria, inyectables,2014-01-01,878,878
CHUMA,otras actividades de enfermeria, inyectables,2014-01-01,372,372
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria, inyectables,2014-01-01,38,38
CKOCHAS,otras actividades de enfermeria, inyectables,2014-01-01,254,254
CLIZA,otras actividades de enfermeria, inyectables,2014-01-01,772,772
COBIJA,otras actividades de enfermeria, inyectables,2014-01-01,12785,12785
COCAPATA,otras actividades de enfermeria, inyectables,2014-01-01,101,101
COCHABAMBA,otras actividades de enfermeria, inyectables,2014-01-01,67228,67228
COIPASA,otras actividades de enfermeria, inyectables,2014-01-01,29,29
COLCAPIRHUA,otras actividades de enfermeria, inyectables,2014-01-01,2002,2002
"COLCHA ""K""",otras actividades de enfermeria, inyectables,2014-01-01,681,681
COLLANA,otras actividades de enfermeria, inyectables,2014-01-01,100,100
COLOMI,otras actividades de enfermeria, inyectables,2014-01-01,337,337
COLPA BELGICA,otras actividades de enfermeria, inyectables,2014-01-01,824,824
COLQUECHACA,otras actividades de enfermeria, inyectables,2014-01-01,430,430
COLQUENCHA,otras actividades de enfermeria, inyectables,2014-01-01,83,83
COLQUIRI,otras actividades de enfermeria, inyectables,2014-01-01,687,687
COMANCHE,otras actividades de enfermeria, inyectables,2014-01-01,16,16
COMARAPA,otras actividades de enfermeria, inyectables,2014-01-01,1353,1353
COMBAYA,otras actividades de enfermeria, inyectables,2014-01-01,31,31
CONCEPCION,otras actividades de enfermeria, inyectables,2014-01-01,1301,1301
COPACABANA,otras actividades de enfermeria, inyectables,2014-01-01,386,386
CORIPATA,otras actividades de enfermeria, inyectables,2014-01-01,400,400
CORO CORO,otras actividades de enfermeria, inyectables,2014-01-01,127,127
COROICO,otras actividades de enfermeria, inyectables,2014-01-01,1152,1152
CORQUE,otras actividades de enfermeria, inyectables,2014-01-01,157,157
COTAGAITA,otras actividades de enfermeria, inyectables,2014-01-01,2587,2587
COTOCA,otras actividades de enfermeria, inyectables,2014-01-01,1252,1252
