municipality,group,variable,month,Total 7.3 Curaciones y/o suturas,TOTAL
ACACIO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,35,35
ACHACACHI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,209,209
ACHOCALLA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,75,75
AIQUILE,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,237,237
ALALAY,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,21,21
ALCALA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,24,24
ALTO BENI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,91,91
ANCORAIMES,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,48,48
ANDAMARCA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,37,37
ANTEQUERA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,18,18
ANZALDO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,35,35
APOLO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,54,54
ARAMPAMPA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,9,9
ARANI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,141,141
ARBIETO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,79,79
ARQUE,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,25,25
ASCENCION DE GUARAYOS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,369,369
ATOCHA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,538,538
AUCAPATA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,13,13
AYATA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,42,42
AYO AYO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,36,36
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,137,137
AZURDUY,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,62,62
BATALLAS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,61,61
BAURES,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,144,144
BELEN DE ANDAMARCA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,5,5
BELEN DE URMIRI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,3,3
BELLA FLOR,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,27,27
BERMEJO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,1861,1861
BETANZOS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,163,163
BOLIVAR,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,15,15
BOLPEBRA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,14,14
BOYUIBE,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,44,44
BUENA VISTA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,53,53
CABEZAS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,281,281
CAIROMA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,79,79
"CAIZA ""D""",otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,48,48
CAJUATA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,46,46
CALACOTO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,7,7
CALAMARCA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,69,69
CAMARGO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,43,43
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,107,107
CAMIRI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,1516,1516
CAPINOTA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,294,294
CAQUIAVIRI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,108,108
CARACOLLO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,163,163
CARANAVI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,808,808
CARANGAS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,3,3
CARAPARI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,236,236
CARIPUYO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,17,17
CARMEN RIVERO TORREZ,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,69,69
CATACORA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,7,7
CHACARILLA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,3,3
CHALLAPATA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,1047,1047
CHAQUI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,29,29
CHARAGUA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,221,221
CHARAÑA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,23,23
CHAYANTA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,54,54
CHIMORE,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,320,320
CHIPAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,5,5
CHOQUE COTA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,6,6
CHUA COCANI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,36,36
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,112,112
CHUMA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,79,79
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,18,18
CKOCHAS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,21,21
CLIZA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,426,426
COBIJA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,1574,1574
COCAPATA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,21,21
COCHABAMBA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,11827,11827
COIPASA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,4,4
COLCAPIRHUA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,633,633
"COLCHA ""K""",otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,57,57
COLLANA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,31,31
COLOMI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,214,214
COLPA BELGICA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,176,176
COLQUECHACA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,126,126
COLQUENCHA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,85,85
COLQUIRI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,288,288
COMANCHE,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,16,16
COMARAPA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,235,235
COMBAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,25,25
CONCEPCION,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,119,119
COPACABANA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,90,90
CORIPATA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,66,66
CORO CORO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,44,44
COROICO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,133,133
CORQUE,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,33,33
COTAGAITA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,500,500
COTOCA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,395,395
CRUZ DE MACHACAMARCA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,6,6
CUATRO CAÑADAS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,481,481
CUCHUMUELA (V. G. VILLARROEL),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,14,14
CUEVO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,34,34
CULPINA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,114,114
CURAHUARA DE CARANGAS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,32,32
CURVA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,5,5
DESAGUADERO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,42,42
EL ALTO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,8541,8541
EL CHORO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,19,19
EL PUENTE(STC),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,128,128
EL PUENTE(TJA),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,117,117
EL TORNO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,2065,2065
EL VILLAR,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,46,46
ENTRE RIOS TRJ,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,230,230
ENTRE RIOS CBBA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,161,161
ESCARA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,6,6
ESCOMA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,144,144
ESMERALDA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,18,18
EUCALIPTUS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,4,4
EUREKA (SANTOS MERCADO),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,2,2
EXALTACION,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,9,9
FERNANDEZ ALONSO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,170,170
FILADELFIA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,33,33
GENERAL SAAVEDRA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,133,133
GRAL. J.J. PEREZ (CHARAZANI),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,71,71
GUANAY,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,135,135
GUAQUI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,17,17
GUAYARAMERIN,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,1834,1834
GUTIERREZ,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,81,81
HUACARETA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,82,82
HUACAYA (VILLA DE HUACAYA),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,17,17
HUACHACALLA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,65,65
HUANUNI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,940,940
HUARACAJE,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,93,93
HUARINA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,54,54
HUATAJATA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,107,107
HUAYLLAMARCA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,39,39
HUMANATA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,21,21
ICHOCA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,4,4
ICLA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,16,16
INCAHUASI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,46,46
INGAVI (HUMAITA),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,10,10
INQUISIVI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,37,37
IRUPANA (VILLA DE LANZA),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,90,90
IXIAMAS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,33,33
JESUS DE MACHACA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,109,109
LA ASUNTA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,197,197
LA GUARDIA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,1555,1555
LA PAZ,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,28318,28318
LA RIVERA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,2,2
LAGUNILLAS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,56,56
LAJA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,50,50
LAS CARRERAS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,37,37
LICOMA PAMPA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,20,20
LLALLAGUA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,664,664
LLICA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,39,39
LORETO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,32,32
LURIBAY,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,58,58
MACHACAMARCA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,26,26
MACHARETI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,42,42
MAGDALENA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,488,488
MAIRANA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,378,378
MALLA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,10,10
MAPIRI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,69,69
MECAPACA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,133,133
MINEROS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,160,160
MIZQUE,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,238,238
MOCOMOCO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,29,29
MOJINETE,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,6,6
MOJOCOYA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,11,11
MONTEAGUDO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,472,472
MONTERO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,2399,2399
MORO MORO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,9,9
MOROCHATA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,28,28
NACEBE (SANTA ROSA DEL ABUNA),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,45,45
NAZACARA DE PACAJES,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,3,3
NUEVO MANOA (NUEVA ESPERANZA),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,44,44
OCURI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,32,32
OKINAWA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,132,132
OMEREQUE,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,69,69
ORURO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,9526,9526
PADCAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,274,274
PADILLA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,139,139
PAILON,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,275,275
PALCA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,38,38
PALOS BLANCOS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,220,220
PAMPA AULLAGAS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,23,23
PAMPA GRANDE,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,86,86
PAPEL PAMPA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,19,19
PASORAPA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,12,12
