municipality,group,variable,month,Total 7.1 Sueros,TOTAL
ACACIO,otras actividades de enfermeria, sueros,2014-01-01,17,17
ACHACACHI,otras actividades de enfermeria, sueros,2014-01-01,91,91
ACHOCALLA,otras actividades de enfermeria, sueros,2014-01-01,5,5
AIQUILE,otras actividades de enfermeria, sueros,2014-01-01,114,114
ALALAY,otras actividades de enfermeria, sueros,2014-01-01,4,4
ALCALA,otras actividades de enfermeria, sueros,2014-01-01,15,15
ALTO BENI,otras actividades de enfermeria, sueros,2014-01-01,9,9
ANCORAIMES,otras actividades de enfermeria, sueros,2014-01-01,19,19
ANDAMARCA,otras actividades de enfermeria, sueros,2014-01-01,17,17
ANTEQUERA,otras actividades de enfermeria, sueros,2014-01-01,2,2
ANZALDO,otras actividades de enfermeria, sueros,2014-01-01,16,16
APOLO,otras actividades de enfermeria, sueros,2014-01-01,23,23
ARAMPAMPA,otras actividades de enfermeria, sueros,2014-01-01,11,11
ARANI,otras actividades de enfermeria, sueros,2014-01-01,7,7
ARBIETO,otras actividades de enfermeria, sueros,2014-01-01,4,4
ARQUE,otras actividades de enfermeria, sueros,2014-01-01,12,12
ASCENCION DE GUARAYOS,otras actividades de enfermeria, sueros,2014-01-01,399,399
ATOCHA,otras actividades de enfermeria, sueros,2014-01-01,339,339
AUCAPATA,otras actividades de enfermeria, sueros,2014-01-01,3,3
AYATA,otras actividades de enfermeria, sueros,2014-01-01,10,10
AYO AYO,otras actividades de enfermeria, sueros,2014-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria, sueros,2014-01-01,39,39
AZURDUY,otras actividades de enfermeria, sueros,2014-01-01,43,43
BATALLAS,otras actividades de enfermeria, sueros,2014-01-01,15,15
BAURES,otras actividades de enfermeria, sueros,2014-01-01,136,136
BELEN DE ANDAMARCA,otras actividades de enfermeria, sueros,2014-01-01,6,6
BELLA FLOR,otras actividades de enfermeria, sueros,2014-01-01,11,11
BERMEJO,otras actividades de enfermeria, sueros,2014-01-01,1417,1417
BETANZOS,otras actividades de enfermeria, sueros,2014-01-01,76,76
BOLIVAR,otras actividades de enfermeria, sueros,2014-01-01,6,6
BOLPEBRA,otras actividades de enfermeria, sueros,2014-01-01,7,7
