municipality,group,variable,month,Días camas disponibles maternidad,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,93,93
ACHACACHI,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,310,310
ACHOCALLA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,29,29
AIQUILE,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,527,527
ALALAY,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,93,93
ALCALA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,124,124
ALTO BENI,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,248,248
ANTEQUERA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,62,62
ANZALDO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,93,93
APOLO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,93,93
ARAMPAMPA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,31,31
ARANI,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,155,155
ARBIETO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,217,217
ARQUE,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,278,278
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,434,434
ATOCHA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,307,307
AYATA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,62,62
AYO AYO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,93,93
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles maternidad,2016-01-01,836,836
AZURDUY,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,303,303
BATALLAS,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,62,62
BAURES,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,61,61
BELLA FLOR,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,29,29
BERMEJO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,540,540
BETANZOS,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,278,278
BOLIVAR,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,124,124
BOYUIBE,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,124,124
BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,147,147
CABEZAS,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,124,124
CAIROMA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,89,89
"CAIZA ""D""",internaciones dias camas,dias camas disponibles maternidad,2016-01-01,109,109
CAJUATA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,124,124
CALACOTO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,31,31
CALAMARCA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,154,154
CAMARGO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,279,279
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles maternidad,2016-01-01,93,93
CAMIRI,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,695,695
CAPINOTA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,279,279
CARACOLLO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,124,124
CARANAVI,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,310,310
CARAPARI,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,28,28
CARIPUYO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,23,23
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,204,204
CHALLAPATA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,277,277
CHAQUI,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,54,54
CHARAGUA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,462,462
CHAYANTA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,60,60
CHIMORE,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,276,276
CHUA COCANI,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles maternidad,2016-01-01,279,279
CHUMA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,93,93
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,51,51
CKOCHAS,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,183,183
CLIZA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,341,341
COBIJA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,1149,1149
COCAPATA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,372,372
COCHABAMBA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,11168,11168
COLCAPIRHUA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,682,682
"COLCHA ""K""",internaciones dias camas,dias camas disponibles maternidad,2016-01-01,62,62
COLLANA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,30,30
COLOMI,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,372,372
COLPA BELGICA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,62,62
COLQUECHACA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,124,124
COLQUENCHA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,31,31
COMARAPA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,186,186
CONCEPCION,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,87,87
COPACABANA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,186,186
CORIPATA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,31,31
COROICO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,248,248
COTAGAITA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,124,124
COTOCA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,589,589
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,124,124
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles maternidad,2016-01-01,30,30
CUEVO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,93,93
CULPINA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,239,239
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,124,124
EL ALTO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,7132,7132
EL PUENTE(STC),internaciones dias camas,dias camas disponibles maternidad,2016-01-01,124,124
EL TORNO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,662,662
EL VILLAR,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,186,186
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,186,186
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,333,333
ESCOMA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,155,155
EUCALIPTUS,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,62,62
EXALTACION,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,31,31
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,279,279
GUANAY,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,155,155
GUAYARAMERIN,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,837,837
GUTIERREZ,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,152,152
HUACARETA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,389,389
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles maternidad,2016-01-01,89,89
HUACHACALLA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,83,83
HUANUNI,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,248,248
HUARACAJE,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,62,62
HUATAJATA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,58,58
HUAYLLAMARCA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,62,62
HUMANATA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,62,62
ICLA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,397,397
INCAHUASI,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,217,217
INGAVI (HUMAITA),internaciones dias camas,dias camas disponibles maternidad,2016-01-01,59,59
INQUISIVI,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,62,62
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas disponibles maternidad,2016-01-01,93,93
IXIAMAS,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,93,93
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,61,61
LA ASUNTA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,465,465
LA GUARDIA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,713,713
LA PAZ,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,14197,14197
LAJA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,93,93
LAS CARRERAS,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,178,178
LLALLAGUA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,372,372
LLICA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,62,62
LURIBAY,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,93,93
MACHACAMARCA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,93,93
MACHARETI,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,153,153
MAGDALENA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,186,186
MAIRANA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,124,124
MAPIRI,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,124,124
MECAPACA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,60,60
MINEROS,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,124,124
MIZQUE,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,744,744
MOCOMOCO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,62,62
MOJOCOYA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,263,263
MONTEAGUDO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,401,401
MONTERO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,326,326
MOROCHATA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,465,465
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,dias camas disponibles maternidad,2016-01-01,27,27
OCURI,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,248,248
OKINAWA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,217,217
OMEREQUE,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,155,155
ORURO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,6002,6002
PADILLA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,310,310
PAILON,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,144,144
PALCA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,87,87
PALOS BLANCOS,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,341,341
PAMPA AULLAGAS,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,31,31
PAMPA GRANDE,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,31,31
PAPEL PAMPA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,31,31
PASORAPA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,62,62
PATACAMAYA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,180,180
PAZÑA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,93,93
POCOATA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,93,93
POCONA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,496,496
POJO (CBBA),internaciones dias camas,dias camas disponibles maternidad,2016-01-01,279,279
POOPO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,93,93
POROMA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,614,614
PORONGO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,93,93
PORTACHUELO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,372,372
PORVENIR,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,148,148
POTOSI,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,2046,2046
PRESTO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,265,265
PUCARANI,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,93,93
PUERTO ACOSTA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,29,29
PUERTO CARABUCO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,29,29
PUERTO QUIJARRO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,93,93
PUERTO RICO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,136,136
PUERTO VILLARROEL,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,1054,1054
PUNA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,275,275
PUNATA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,620,620
QUILLACOLLO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,1550,1550
QUIRUSILLAS,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,31,31
RAVELO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,62,62
REYES,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,93,93
RIBERALTA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,1519,1519
ROBORE,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,310,310
RURRENABAQUE,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,248,248
SACABA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,1457,1457
SACABAMBA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,124,124
SACACA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,124,124
SAIPINA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,74,74
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,248,248
SAMAIPATA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,155,155
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,69,69
SAN BENITO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,93,93
SAN BORJA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,465,465
SAN BUENA VENTURA,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,124,124
SAN CARLOS,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,248,248
SAN IGNACIO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,558,558
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas disponibles maternidad,2016-01-01,1488,1488
