municipality,group,variable,month,Días camas ocupadas maternidad,TOTAL
ACHACACHI,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,79,79
ACHOCALLA,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,4,4
AIQUILE,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,90,90
ALCALA,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,15,15
ALTO BENI,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,9,9
ANCORAIMES,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,4,4
ANTEQUERA,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,2,2
ANZALDO,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,3,3
APOLO,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,15,15
ARANI,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,1,1
ARBIETO,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,26,26
ARQUE,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,4,4
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,191,191
ATOCHA,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,17,17
AYATA,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,1,1
AYO AYO,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,43,43
AZURDUY,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,20,20
BATALLAS,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,10,10
BAURES,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,20,20
BELLA FLOR,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,2,2
BERMEJO,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,95,95
BETANZOS,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,40,40
BOYUIBE,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,6,6
BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,8,8
CABEZAS,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,18,18
CAIROMA,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,6,6
"CAIZA ""D""",internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,12,12
CAJUATA,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,17,17
CALACOTO,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,1,1
CALAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,7,7
CAMARGO,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,259,259
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,3,3
CAMIRI,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,385,385
CAPINOTA,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,28,28
CARACOLLO,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,29,29
CARANAVI,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,144,144
CARAPARI,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,3,3
CARIPUYO,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,8,8
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,8,8
CHALLAPATA,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,125,125
CHAQUI,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,8,8
CHARAGUA,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,115,115
CHAYANTA,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,10,10
CHIMORE,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,15,15
CHUA COCANI,internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas maternidad,2016-01-01,113,113
