municipality,group,variable,month,Adultos(as) mayores de 60 años que reciben Complemento Nutricional,TOTAL
ACACIO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,591,591
ACHACACHI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,380,380
ACHOCALLA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,283,283
AIQUILE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,584,584
ALALAY,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,190,190
ALCALA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,99,99
ALTO BENI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,480,480
ANCORAIMES,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,519,519
ANDAMARCA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,378,378
ANTEQUERA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,58,58
ANZALDO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,693,693
APOLO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,417,417
ARAMPAMPA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,402,402
ARANI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,696,696
ARBIETO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,1139,1139
ARQUE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,734,734
ASCENCION DE GUARAYOS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,389,389
ATOCHA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,127,127
AUCAPATA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,164,164
AYATA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,586,586
AYO AYO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,538,538
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,1457,1457
BATALLAS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,600,600
BELEN DE ANDAMARCA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,116,116
BELEN DE URMIRI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,123,123
BELLA FLOR,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,87,87
BERMEJO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,12,12
BETANZOS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,2011,2011
BOLIVAR,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,234,234
BOLPEBRA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,85,85
BOYUIBE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,170,170
BUENA VISTA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,348,348
CABEZAS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,506,506
CAIROMA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,291,291
"CAIZA ""D""",micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,368,368
CAJUATA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,230,230
CALACOTO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,408,408
CALAMARCA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,455,455
CAMARGO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,925,925
CAMATAQUI (C. VILLA ABECIA),micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,279,279
CAMIRI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,838,838
CAPINOTA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,790,790
CAQUIAVIRI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,757,757
CARACOLLO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,31,31
CARANAVI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,1389,1389
CARANGAS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,11,11
CARAPARI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,702,702
CARIPUYO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,533,533
CARMEN RIVERO TORREZ,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,102,102
CATACORA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,135,135
CHACARILLA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,185,185
CHALLAPATA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,1692,1692
CHAQUI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,1080,1080
CHARAGUA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,324,324
CHARAÑA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,60,60
CHAYANTA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,54,54
CHIMORE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,641,641
CHIPAYA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,25,25
CHOQUE COTA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,106,106
CHUA COCANI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,14,14
CHUMA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,880,880
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,234,234
CKOCHAS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,1068,1068
CLIZA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,1027,1027
COBIJA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,957,957
COCAPATA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,905,905
COCHABAMBA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,5980,5980
COIPASA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,19,19
COLCAPIRHUA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,876,876
"COLCHA ""K""",micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,369,369
COLLANA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,190,190
COLOMI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,787,787
COLPA BELGICA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,74,74
COLQUECHACA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,1980,1980
COLQUENCHA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,304,304
COLQUIRI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,733,733
COMANCHE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,206,206
COMARAPA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,367,367
COMBAYA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,204,204
COPACABANA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,343,343
CORIPATA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,146,146
CORO CORO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,413,413
COROICO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,253,253
CORQUE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,41,41
COTAGAITA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,1610,1610
COTOCA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,701,701
CRUZ DE MACHACAMARCA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,13,13
CUATRO CAÑADAS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,611,611
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,119,119
CUEVO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,27,27
CULPINA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,888,888
CURAHUARA DE CARANGAS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,266,266
CURVA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,121,121
DESAGUADERO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,21,21
EL ALTO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,1967,1967
EL CHORO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,251,251
EL PUENTE(STC),micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,354,354
EL PUENTE(TJA),micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,750,750
EL TORNO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,24,24
EL VILLAR,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,163,163
ENTRE RIOS TRJ,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,1055,1055
ENTRE RIOS CBBA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,750,750
ESCARA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,41,41
ESCOMA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,41,41
ESMERALDA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,28,28
EUCALIPTUS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,276,276
EXALTACION,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,30,30
FERNANDEZ ALONSO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,241,241
FILADELFIA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,92,92
GENERAL SAAVEDRA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,233,233
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,480,480
GUANAY,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,249,249
GUAQUI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,103,103
GUAYARAMERIN,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,572,572
GUTIERREZ,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,38,38
HUACARETA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,55,55
HUACAYA (VILLA DE HUACAYA),micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,110,110
HUACHACALLA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,22,22
HUANUNI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,295,295
HUARINA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,456,456
HUATAJATA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,19,19
HUAYLLAMARCA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,337,337
HUMANATA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,227,227
ICLA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,203,203
INCAHUASI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,459,459
INGAVI (HUMAITA),micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,5,5
INQUISIVI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,621,621
IRUPANA (VILLA DE LANZA),micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,513,513
IXIAMAS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,125,125
JESUS DE MACHACA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,912,912
LA ASUNTA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,109,109
LA GUARDIA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,1725,1725
LA PAZ,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,6874,6874
LA RIVERA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,13,13
LAGUNILLAS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,25,25
LAJA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,813,813
LAS CARRERAS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,10,10
LICOMA PAMPA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,180,180
LLALLAGUA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,442,442
LLICA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,207,207
LORETO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,8,8
LURIBAY,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,449,449
MACHACAMARCA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,145,145
MACHARETI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,132,132
MAIRANA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,244,244
MALLA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,137,137
MAPIRI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,250,250
MECAPACA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,43,43
MINEROS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,516,516
MIZQUE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,1177,1177
MOCOMOCO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,256,256
MOJINETE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,54,54
MOJOCOYA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,490,490
MONTERO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,1087,1087
MOROCHATA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,396,396
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,54,54
NAZACARA DE PACAJES,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,36,36
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,41,41
OCURI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,904,904
OKINAWA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,351,351
OMEREQUE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,318,318
ORURO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,2547,2547
PADCAYA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,930,930
PADILLA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,491,491
PAILON,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,390,390
PALCA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,599,599
PALOS BLANCOS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,906,906
PAMPA AULLAGAS,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,182,182
PAMPA GRANDE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,236,236
PAPEL PAMPA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,573,573
PASORAPA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,326,326
PATACAMAYA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,817,817
PAZÑA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,134,134
PELECHUCO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,192,192
POCOATA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,1971,1971
POCONA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,675,675
POJO (CBBA),micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,285,285
POOPO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,138,138
PORCO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,137,137
POROMA,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,876,876
PORONGO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,533,533
PORVENIR,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,127,127
POSTRER VALLE,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,104,104
POTOSI,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,1976,1976
PRESTO,micronutrientes,adultos(as) mayores de 60 anos que reciben complemento nutricional,2019-01-01,607,607
