,group,variable,month,CONTROL DEL NIÑO(A) DE 2 AÑOS A MENOR DE 5 AÑOS DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) DE 2 AÑOS A MENOR DE 5 AÑOS DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) DE 2 AÑOS A MENOR DE 5 AÑOS DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) DE 2 AÑOS A MENOR DE 5 AÑOS DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
APOLO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,19,16,20,19,39,35,74
ARAMPAMPA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,2,5,7,5,9,14
ARANI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,2,1,39,29,41,30,71
ARBIETO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,9,10,96,107,105,117,222
ARQUE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,5,3,27,39,32,42,74
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,28,11,133,136,161,147,308
ATOCHA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,22,10,39,56,61,66,127
AUCAPATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1,3,7,17,8,20,28
AYATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,4,4,13,15,17,19,36
AYO AYO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,3,1,12,16,15,17,32
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,5,9,60,58,65,67,132
AZURDUY,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,15,7,59,58,74,65,139
BATALLAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,5,5,32,31,37,36,73
BAURES,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,3,5,18,9,21,14,35
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,3,5,3,5,8
BELEN DE URMIRI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,0,1,0,1,1
BELLA FLOR,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1,1,9,6,10,7,17
BERMEJO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,29,26,38,33,67,59,126
BETANZOS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,15,18,78,78,93,96,189
BOLIVAR,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,3,13,10,13,13,26
BOLPEBRA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1,0,1,1,2,1,3
BOYUIBE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,3,2,20,20,23,22,45
BUENA VISTA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,15,12,42,29,57,41,98
CABEZAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,8,15,54,69,62,84,146
CAIROMA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,1,33,32,33,33,66
"CAIZA ""D""",control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,9,2,50,36,59,38,97
CAJUATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,5,3,57,38,62,41,103
CALACOTO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,2,2,0,2,2,4
CALAMARCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,5,4,30,17,35,21,56
CAMARGO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1,2,48,23,49,25,74
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,4,3,4,3,7
CAMIRI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,33,35,76,75,109,110,219
CAPINOTA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,15,27,51,55,66,82,148
CAQUIAVIRI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,1,19,18,19,19,38
CARACOLLO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,2,2,70,80,72,82,154
CARANAVI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,23,17,115,117,138,134,272
CARAPARI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,16,9,36,38,52,47,99
CARIPUYO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,3,12,12,12,15,27
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,9,13,7,13,16,26,42
CATACORA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1,2,1,2,2,4,6
CHACARILLA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,2,0,4,4,6,4,10
CHALLAPATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,4,3,69,56,73,59,132
CHAQUI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1,2,21,16,22,18,40
CHARAGUA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,34,18,100,85,134,103,237
CHARAÑA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,4,5,4,5,9
CHAYANTA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,12,6,27,24,39,30,69
CHIMORE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,84,50,81,88,165,138,303
CHIPAYA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,1,3,1,3,4
CHOQUE COTA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,1,1,1,1,2
CHUA COCANI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,4,4,3,3,7,7,14
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,18,20,37,34,55,54,109
CHUMA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,4,0,14,11,18,11,29
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,9,8,9,9,18,17,35
CKOCHAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,7,6,24,29,31,35,66
CLIZA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,9,11,38,22,47,33,80
COBIJA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,30,39,210,195,240,234,474
COCAPATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,7,3,25,39,32,42,74
COCHABAMBA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,622,595,1087,1017,1709,1612,3321
COIPASA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,1,0,1,0,1
COLCAPIRHUA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,32,30,72,75,104,105,209
"COLCHA ""K""",control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,3,3,22,21,25,24,49
COLLANA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1,1,8,5,9,6,15
COLOMI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,12,15,86,105,98,120,218
COLPA BELGICA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,4,7,4,7,11
COLQUECHACA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,18,12,20,28,38,40,78
COLQUENCHA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,12,6,39,35,51,41,92
COLQUIRI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,13,5,31,34,44,39,83
COMANCHE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,2,4,2,4,6
COMARAPA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,13,15,44,60,57,75,132
COMBAYA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,1,0,1,0,1
CONCEPCION,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,25,23,56,65,81,88,169
COPACABANA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,5,3,15,13,20,16,36
CORIPATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,5,6,96,58,101,64,165
CORO CORO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1,1,18,17,19,18,37
COROICO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,3,8,32,19,35,27,62
CORQUE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,2,0,9,6,11,6,17
COTAGAITA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,6,2,83,82,89,84,173
COTOCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,87,91,206,197,293,288,581
CUATRO CAÑADAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,29,31,48,52,77,83,160
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1,1,6,3,7,4,11
CUEVO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,8,8,5,5,13,13,26
CULPINA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,10,4,42,40,52,44,96
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,3,7,3,7,10
CURVA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1,0,5,4,6,4,10
DESAGUADERO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1,1,13,12,14,13,27
EL ALTO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,580,555,1243,1120,1823,1675,3498
EL CHORO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,3,4,15,15,18,19,37
EL PUENTE(STC),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,11,12,17,10,28,22,50
EL PUENTE(TJA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,5,4,34,28,39,32,71
EL TORNO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,44,56,239,239,283,295,578
EL VILLAR,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,1,22,22,22,23,45
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,8,9,84,78,92,87,179
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,61,66,181,196,242,262,504
ESCARA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,2,0,2,0,2
ESCOMA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,24,19,24,19,43
ESMERALDA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,1,2,4,2,5,7
EUCALIPTUS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,17,11,17,11,28
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,3,1,0,0,3,1,4
EXALTACION,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,5,10,3,1,8,11,19
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,5,15,22,28,27,43,70
FILADELFIA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,1,21,12,21,13,34
GAIOC JATUN AYLLU YURA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,6,4,6,4,10
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,2,2,77,91,79,93,172
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,5,4,11,14,16,18,34
GUANAY,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,13,11,57,36,70,47,117
GUAQUI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,2,5,11,12,13,17,30
GUAYARAMERIN,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,46,48,51,67,97,115,212
GUTIERREZ,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,8,18,33,41,41,59,100
HUACARAJE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,5,4,11,12,16,16,32
HUACARETA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,2,21,17,21,19,40
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1,2,10,6,11,8,19
HUACHACALLA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,3,2,2,1,5,3,8
HUANUNI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,3,2,22,21,25,23,48
HUARINA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,1,20,22,20,23,43
HUATAJATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,2,4,4,4,6,8,14
HUAYLLAMARCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,29,20,29,20,49
HUMANATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,2,0,3,6,5,6,11
ICHOCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,2,1,1,1,3,2,5
ICLA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,3,36,32,36,35,71
INCAHUASI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,9,5,34,40,43,45,88
INGAVI (HUMAITA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1,1,3,5,4,6,10
INQUISIVI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,1,25,22,25,23,48
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,5,3,53,43,58,46,104
IXIAMAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,7,6,45,37,52,43,95
JESUS DE MACHACA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,2,3,25,25,27,28,55
LA ASUNTA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,23,22,98,93,121,115,236
LA GUARDIA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,102,91,207,219,309,310,619
LA PAZ,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1227,1441,1331,1220,2558,2661,5219
LAGUNILLAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,3,2,19,24,22,26,48
LAJA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,5,2,44,35,49,37,86
LAS CARRERAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1,1,19,13,20,14,34
LICOMA PAMPA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1,3,6,6,7,9,16
LLALLAGUA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,33,28,31,38,64,66,130
LLICA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,2,3,6,3,8,6,14
LORETO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1,0,11,3,12,3,15
LURIBAY,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,3,2,25,26,28,28,56
MACHACAMARCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,9,9,9,9,18
MACHARETI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,17,15,17,15,32
MAGDALENA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,24,20,31,43,55,63,118
MAIRANA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,8,3,38,30,46,33,79
MALLA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,0,3,0,3,3
MAPIRI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,13,9,40,27,53,36,89
MECAPACA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,3,3,25,35,28,38,66
MINEROS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,6,5,65,73,71,78,149
MIZQUE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,15,22,45,48,60,70,130
MOCOMOCO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,6,4,22,19,28,23,51
MOJINETE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,0,1,0,1,1
MOJOCOYA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1,5,23,23,24,28,52
MONTEAGUDO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,29,38,77,84,106,122,228
MONTERO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,55,53,297,268,352,321,673
MORO MORO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,3,1,2,7,5,8,13
MOROCHATA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,7,6,18,20,25,26,51
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1,3,29,10,30,13,43
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,2,1,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,0,4,11,4,11,15
OCURI,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,4,4,19,14,23,18,41
OKINAWA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,6,11,32,31,38,42,80
OMEREQUE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,4,8,41,37,45,45,90
ORURO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,608,531,542,536,1150,1067,2217
PADCAYA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,2,7,58,38,60,45,105
PADILLA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,4,1,46,53,50,54,104
PAILON,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,17,8,102,85,119,93,212
PALCA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,21,25,54,52,75,77,152
PALOS BLANCOS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,50,28,101,122,151,150,301
PAMPA AULLAGAS,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,0,1,17,11,17,12,29
PAMPA GRANDE,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,6,15,16,16,22,31,53
PAPEL PAMPA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1,2,15,15,16,17,33
PASORAPA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1,1,5,1,6,2,8
PATACAMAYA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,2,1,20,21,22,22,44
PAZÑA,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,1,0,20,16,21,16,37
PELECHUCO,control de crecimiento infantil,control del nino(a) de 2 anos a menor de 5 anos dentro del establecimiento,2023-01-01,10,7,18,20,28,27,55
