,group,variable,month,CARDIOVASCULARES CANTIDAD,CARDIOVASCULARES CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,17,8,25
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,2,3,5
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,4,4,8
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,1,2
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,2,1,3
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,1,2
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,2,7,9
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,13,20,33
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,8,11,19
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,2,1,3
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,0,1,1
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,2,0,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,5,10,15
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,0,38,38
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,4,1,5
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,3,7,10
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,3,4,7
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,9,24,33
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,112,141,253
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,0,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,4,7,11
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,4,0,4
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,5,3,8
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,4,5
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,329,276,605
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,2,0,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,7,2,9
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,4,6,10
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,0,1
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,10,8,18
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,2,7,9
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,2,0,2
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,0,1
