,group,variable,month,CÁNCER OTROS CANTIDAD,CÁNCER OTROS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,1,1
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,1,1,2
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,4,2,6
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,3,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,255,487,742
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,5,10,15
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,1,0,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,78,53,131
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,1,3,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,4,6,10
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,4,4
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,1,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,2,1,3
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,4,6,10
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,1,2,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,2,2,4
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,1,0,1
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,13,13
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,1,1,2
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,114,131,245
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,1,1
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,1,0,1
