,group,variable,month,REUMÁTICAS CANTIDAD,REUMÁTICAS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,23,29,52
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,0,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,8,15,23
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,9,14,23
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,3,7,10
ANTEQUERA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,2,3
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,4,3,7
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,6,8
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,0,2
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,5,19,24
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,9,13,22
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,3,4,7
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,7,24,31
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,18,31,49
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,4,25,29
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,29,24,53
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,18,36,54
BOLIVAR,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,2,2
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,1,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,3,6,9
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,1,1
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,12,5,17
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,15,30,45
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,9,9,18
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,39,45,84
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,5,5
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,1,1
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,1,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,8,9
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,6,1,7
CATACORA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,2,4
CHACARILLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,1,3
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,3,3
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,4,8,12
CHIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,0,2
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,22,23,45
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,4,2,6
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,5,35,40
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,137,412,549
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,1,2
COLLANA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,3,3,6
