,group,variable,month,CÁNCER CERVICOUTERINO CANTIDAD,CÁNCER CERVICOUTERINO CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,1,1
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,4,4
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,44,44
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,7,7
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,2,2
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,22,22
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,30,30
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,2,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,2,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,6,6
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,12,12
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,4,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,2,2
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,1,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,36,36
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,1,1
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,22,22
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,8,8
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,6,6
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,2,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,1,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-01-01,0,1,1
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-02-01,0,1,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-02-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer cervicouterino,2013-02-01,0,1,1
