,group,variable,month,EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,0,1,1
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,1,2,3
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,0,1,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,3,2,5
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,2,0,2
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,4,7,11
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,2,1,3
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,0,2,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,5,5,10
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,0,1,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,1,1,2
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,4,5,9
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,100,130,230
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,1,3,4
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,1,0,1
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,0,7,7
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,5,0,5
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,23,28,51
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,0,1,1
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,1,1,2
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,0,13,13
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,1,1,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,1,1,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,131,123,254
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,1,0,1
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,1,0,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,5,13,18
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-01-01,0,3,3
