,group,variable,month,PERSONAS CON DISCAPACIDAD CANTIDAD,PERSONAS CON DISCAPACIDAD CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,0,1,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,0,2,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,2,2,4
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,8,0,8
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,6,5,11
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,59,45,104
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,3,1,4
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,1,0,1
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,1,0,1
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,2,0,2
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,2,4,6
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,2,0,2
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,2,1,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,48,26,74
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,2,4,6
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,2,2,4
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,5,9,14
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,1,1,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,0,3,3
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,0,1,1
RAVELO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,0,2,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,4,0,4
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,5,3,8
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,0,3,3
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,1,0,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,1,0,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,0,2,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,1,0,1
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,0,3,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,56,86,142
