,group,variable,month,HABITO DE FUMAR CANTIDAD,HABITO DE FUMAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,0,2,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,6,2,8
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,4,0,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,8,11,19
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,2,0,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,6,3,9
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,1,0,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,8,0,8
IXIAMAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,7,0,7
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,0,2,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,18,7,25
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,6,0,6
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,10,0,10
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,5,1,6
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,40,5,45
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,2,0,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,0,1,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,3,1,4
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,1,1,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,43,70,113
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,10,4,14
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,2,0,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,34,12,46
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,1,3,4
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-01-01,1,0,1
ALALAY,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,1,0,1
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,5,0,5
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,6,4,10
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,11,13,24
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,2,0,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,11,2,13
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,2,0,2
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,2,0,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,1,0,1
