,group,variable,month,ABUSO DE ALCOHOL CANTIDAD,ABUSO DE ALCOHOL CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,1,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,2,0,2
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,3,0,3
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,3,0,3
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,0,1,1
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,8,3,11
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,2,0,2
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,1,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,19,26,45
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,6,2,8
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,3,0,3
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,3,0,3
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,3,1,4
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,0,2,2
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,4,0,4
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,6,2,8
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,116,41,157
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,2,0,2
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,1,2
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,2,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,3,1,4
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,5,6,11
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,7,5,12
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,22,4,26
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
