municipality,group,variable,month,Número de viviendas positivas,TOTAL
CAMIRI,control vectorial de dengue,numero de viviendas positivas,2013-01-01,17,17
CARANAVI,control vectorial de dengue,numero de viviendas positivas,2013-01-01,7,7
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2013-01-01,30,30
EL TORNO,control vectorial de dengue,numero de viviendas positivas,2013-01-01,39,39
OMEREQUE,control vectorial de dengue,numero de viviendas positivas,2013-01-01,16,16
PADILLA,control vectorial de dengue,numero de viviendas positivas,2013-01-01,14,14
SUCRE,control vectorial de dengue,numero de viviendas positivas,2013-01-01,28,28
TEOPONTE,control vectorial de dengue,numero de viviendas positivas,2013-01-01,62,62
TIPUANI,control vectorial de dengue,numero de viviendas positivas,2013-01-01,49,49
BOYUIBE,control vectorial de dengue,numero de viviendas positivas,2013-02-01,28,28
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2013-02-01,168,168
HUACARETA,control vectorial de dengue,numero de viviendas positivas,2013-02-01,13,13
LA ASUNTA,control vectorial de dengue,numero de viviendas positivas,2013-02-01,78,78
MONTEAGUDO,control vectorial de dengue,numero de viviendas positivas,2013-02-01,106,106
MONTERO,control vectorial de dengue,numero de viviendas positivas,2013-02-01,133,133
PADILLA,control vectorial de dengue,numero de viviendas positivas,2013-02-01,14,14
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2013-02-01,28,28
SUCRE,control vectorial de dengue,numero de viviendas positivas,2013-02-01,20,20
TEOPONTE,control vectorial de dengue,numero de viviendas positivas,2013-02-01,20,20
TIPUANI,control vectorial de dengue,numero de viviendas positivas,2013-02-01,15,15
VILLA TUNARI,control vectorial de dengue,numero de viviendas positivas,2013-02-01,74,74
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,numero de viviendas positivas,2013-02-01,34,34
ALTO BENI,control vectorial de dengue,numero de viviendas positivas,2013-03-01,55,55
ANZALDO,control vectorial de dengue,numero de viviendas positivas,2013-03-01,1,1
ARBIETO,control vectorial de dengue,numero de viviendas positivas,2013-03-01,17,17
BOYUIBE,control vectorial de dengue,numero de viviendas positivas,2013-03-01,33,33
CAMIRI,control vectorial de dengue,numero de viviendas positivas,2013-03-01,8,8
CARANAVI,control vectorial de dengue,numero de viviendas positivas,2013-03-01,19,19
CARAPARI,control vectorial de dengue,numero de viviendas positivas,2013-03-01,1,1
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2013-03-01,37,37
CONCEPCION,control vectorial de dengue,numero de viviendas positivas,2013-03-01,11,11
EL PUENTE(STC),control vectorial de dengue,numero de viviendas positivas,2013-03-01,5,5
ENTRE RIOS TRJ,control vectorial de dengue,numero de viviendas positivas,2013-03-01,110,110
GENERAL SAAVEDRA,control vectorial de dengue,numero de viviendas positivas,2013-03-01,200,200
MACHARETI,control vectorial de dengue,numero de viviendas positivas,2013-03-01,36,36
MONTEAGUDO,control vectorial de dengue,numero de viviendas positivas,2013-03-01,450,450
MONTERO,control vectorial de dengue,numero de viviendas positivas,2013-03-01,17,17
SAIPINA,control vectorial de dengue,numero de viviendas positivas,2013-03-01,41,41
SAN JULIAN,control vectorial de dengue,numero de viviendas positivas,2013-03-01,1,1
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas positivas,2013-03-01,11,11
SUCRE,control vectorial de dengue,numero de viviendas positivas,2013-03-01,29,29
VILLA TUNARI,control vectorial de dengue,numero de viviendas positivas,2013-03-01,43,43
ARBIETO,control vectorial de dengue,numero de viviendas positivas,2013-04-01,7,7
CAMIRI,control vectorial de dengue,numero de viviendas positivas,2013-04-01,50,50
CARAPARI,control vectorial de dengue,numero de viviendas positivas,2013-04-01,1,1
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2013-04-01,15,15
FERNANDEZ ALONSO,control vectorial de dengue,numero de viviendas positivas,2013-04-01,41,41
MACHARETI,control vectorial de dengue,numero de viviendas positivas,2013-04-01,14,14
MAGDALENA,control vectorial de dengue,numero de viviendas positivas,2013-04-01,34,34
MONTEAGUDO,control vectorial de dengue,numero de viviendas positivas,2013-04-01,781,781
MONTERO,control vectorial de dengue,numero de viviendas positivas,2013-04-01,125,125
PALOS BLANCOS,control vectorial de dengue,numero de viviendas positivas,2013-04-01,1,1
POROMA,control vectorial de dengue,numero de viviendas positivas,2013-04-01,10,10
SAN JULIAN,control vectorial de dengue,numero de viviendas positivas,2013-04-01,2,2
VILLA TUNARI,control vectorial de dengue,numero de viviendas positivas,2013-04-01,10,10
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,numero de viviendas positivas,2013-04-01,2,2
CABEZAS,control vectorial de dengue,numero de viviendas positivas,2013-05-01,4,4
CARAPARI,control vectorial de dengue,numero de viviendas positivas,2013-05-01,1,1
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2013-05-01,21,21
GENERAL SAAVEDRA,control vectorial de dengue,numero de viviendas positivas,2013-05-01,71,71
LAGUNILLAS,control vectorial de dengue,numero de viviendas positivas,2013-05-01,17,17
MACHARETI,control vectorial de dengue,numero de viviendas positivas,2013-05-01,4,4
MONTEAGUDO,control vectorial de dengue,numero de viviendas positivas,2013-05-01,30,30
SAN JULIAN,control vectorial de dengue,numero de viviendas positivas,2013-05-01,1,1
SUCRE,control vectorial de dengue,numero de viviendas positivas,2013-05-01,4,4
TARATA,control vectorial de dengue,numero de viviendas positivas,2013-05-01,2,2
VILLA TUNARI,control vectorial de dengue,numero de viviendas positivas,2013-05-01,10,10
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2013-06-01,140,140
LAGUNILLAS,control vectorial de dengue,numero de viviendas positivas,2013-06-01,3,3
TIPUANI,control vectorial de dengue,numero de viviendas positivas,2013-06-01,25,25
YACUIBA,control vectorial de dengue,numero de viviendas positivas,2013-06-01,41,41
CAMIRI,control vectorial de dengue,numero de viviendas positivas,2013-07-01,50,50
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2013-07-01,59,59
EL VILLAR,control vectorial de dengue,numero de viviendas positivas,2013-07-01,6,6
