municipality,group,variable,month,Número de viviendas evaluadas entomológicamente,TOTAL
BOYUIBE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-01-01,2,2
CAMIRI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-01-01,278,278
CARANAVI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-01-01,50,50
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-01-01,150,150
EL TORNO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-01-01,92,92
MACHARETI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-01-01,203,203
OMEREQUE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-01-01,538,538
PADILLA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-01-01,219,219
SAN JOSE DE CHIQUITOS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-01-01,15,15
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-01-01,140,140
SUCRE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-01-01,768,768
TEOPONTE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-01-01,356,356
TIPUANI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-01-01,172,172
TIQUIPAYA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-01-01,5,5
BOYUIBE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-02-01,178,178
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-02-01,163,163
EL PUENTE(STC),control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-02-01,46,46
HUACARETA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-02-01,364,364
LA ASUNTA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-02-01,279,279
LAGUNILLAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-02-01,15,15
MONTEAGUDO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-02-01,1072,1072
MONTERO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-02-01,495,495
OMEREQUE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-02-01,52,52
PADILLA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-02-01,131,131
PAILON,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-02-01,130,130
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-02-01,1246,1246
SUCRE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-02-01,690,690
TEOPONTE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-02-01,53,53
TIPUANI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-02-01,268,268
VILLA TUNARI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-02-01,225,225
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-02-01,701,701
ALTO BENI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,119,119
ANZALDO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,97,97
BERMEJO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,1,1
BOYUIBE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,390,390
CABEZAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,15,15
CAMIRI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,83,83
CARANAVI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,95,95
CARAPARI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,3,3
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,338,338
CONCEPCION,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,74,74
COTOCA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,130,130
ENTRE RIOS TRJ,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,191,191
GENERAL SAAVEDRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,400,400
LAGUNILLAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,10,10
MACHARETI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,559,559
MONTEAGUDO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,2891,2891
MONTERO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,50,50
SAIPINA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,345,345
SAN JULIAN,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,140,140
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,100,100
SUCRE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,611,611
TARIJA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,1,1
TIPUANI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,60,60
VILLA TUNARI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-03-01,266,266
CAMIRI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-04-01,96,96
CARAPARI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-04-01,3,3
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-04-01,269,269
COTOCA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-04-01,60,60
FERNANDEZ ALONSO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-04-01,120,120
MACHARETI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-04-01,619,619
MAGDALENA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-04-01,110,110
MONTEAGUDO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-04-01,1327,1327
MONTERO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-04-01,407,407
PADILLA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-04-01,188,188
PALOS BLANCOS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-04-01,24,24
POROMA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-04-01,171,171
SAN JULIAN,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-04-01,100,100
