,group,variable,month,NÚMERO DE ANESTESIAS LOCALES REALIZADAS CANTIDAD,NÚMERO DE ANESTESIAS LOCALES REALIZADAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
AIQUILE,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,2,1,2,1,3
ASCENCION DE GUARAYOS,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,37,12,37,12,49
BERMEJO,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,1,0,1,0,1
CABEZAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,2,1,2,1,3
CAMARGO,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,3,4,3,4,7
CARACOLLO,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,8,7,8,7,15
CHALLAPATA,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,3,1,3,1,4
CHARAGUA,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,5,18,5,18,23
COBIJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,29,22,29,22,51
COCHABAMBA,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,351,567,351,567,918
COLCAPIRHUA,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,6,18,6,18,24
COROICO,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,0,1,0,1,1
COTAGAITA,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,5,8,5,8,13
COTOCA,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,4,5,4,5,9
CUATRO CAÑADAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,1,3,1,3,4
EL ALTO,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,31,33,31,33,64
EL TORNO,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,0,2,0,2,2
GIA-TIM,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,0,1,0,1,1
GUAYARAMERIN,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,0,1,0,1,1
HUANUNI,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,20,11,20,11,31
LA PAZ,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,164,179,164,179,343
MACHARETI,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,0,1,0,1,1
MAIRANA,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,1,12,1,12,13
MONTERO,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,12,5,12,5,17
ORURO,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,87,203,87,203,290
PADILLA,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,0,4,0,4,4
PORTACHUELO,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,8,9,8,9,17
POTOSI,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,44,79,44,79,123
PUERTO SUAREZ,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,4,24,4,24,28
PUERTO VILLARROEL,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,7,5,7,5,12
PUNATA,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,4,24,4,24,28
QUILLACOLLO,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,22,131,22,131,153
RIBERALTA,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,16,20,16,20,36
SACABA,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,16,9,16,9,25
SAN BORJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,12,31,12,31,43
SAN IGNACIO DE VELASCO,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,1,0,1,0,1
SAN LUCAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,3,14,3,14,17
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,239,382,239,382,621
SANTA ROSA,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,1,1,1,1,2
SOPACHUY,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,4,7,4,7,11
