,group,variable,month,NÚMERO DE CIRUGIAS MENORES REALIZADAS CANTIDAD,NÚMERO DE CIRUGIAS MENORES REALIZADAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
AIQUILE,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,2,1,2,1,3
ASCENCION DE GUARAYOS,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,37,12,37,12,49
BERMEJO,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,0,1,0,1,1
CABEZAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,2,1,2,1,3
CAMARGO,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,3,4,3,4,7
CAMIRI,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,0,1,0,1,1
CARACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,8,7,8,7,15
CHALLAPATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,3,1,3,1,4
CHARAGUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,5,18,5,18,23
CLIZA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,0,3,0,3,3
COBIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,22,26,22,26,48
COCHABAMBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,346,644,346,644,990
COLCAPIRHUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,6,18,6,18,24
COROICO,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,4,5,4,5,9
COTAGAITA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,6,10,6,10,16
COTOCA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,4,5,4,5,9
CUATRO CAÑADAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,1,3,1,3,4
EL ALTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,49,53,49,53,102
EL TORNO,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,0,2,0,2,2
ESCOMA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,0,1,0,1,1
GUAYARAMERIN,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,1,3,1,3,4
HUANUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,20,12,20,12,32
LA GUARDIA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,9,38,9,38,47
LA PAZ,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,207,294,207,294,501
LLALLAGUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,4,29,4,29,33
MAIRANA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,1,12,1,12,13
MONTEAGUDO,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,8,2,8,2,10
MONTERO,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,12,10,12,10,22
ORURO,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,84,262,84,262,346
PADILLA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,1,10,1,10,11
PATACAMAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,0,3,0,3,3
PORTACHUELO,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,8,9,8,9,17
POTOSI,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,72,121,72,121,193
PUERTO SUAREZ,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,4,24,4,24,28
PUERTO VILLARROEL,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,7,5,7,5,12
PUNATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,1,27,1,27,28
QUILLACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,22,131,22,131,153
RIBERALTA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,23,24,23,24,47
SACABA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,18,22,18,22,40
SAN BORJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,12,16,12,16,28
