municipality,group,variable,month,l 26.2 Número de viviendas positivas,TOTAL
GUAYARAMERIN,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-01-01,190,190
GUTIERREZ,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-01-01,22,22
HUACARETA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-01-01,3,3
LAGUNILLAS,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-01-01,4,4
MAIRANA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-01-01,1,1
MAPIRI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-01-01,4,4
MONTEAGUDO,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-01-01,324,324
PALOS BLANCOS,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-01-01,61,61
PUERTO VILLARROEL,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-01-01,19,19
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-01-01,8,8
SANTA ROSA DEL SARA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-01-01,35,35
TIPUANI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-01-01,34,34
TRINIDAD,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-01-01,1,1
VILLA TUNARI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-01-01,3,3
YAPACANI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-01-01,69,69
ASCENCION DE GUARAYOS,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-02-01,60,60
COMARAPA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-02-01,2,2
COTOCA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-02-01,26,26
CUEVO,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-02-01,131,131
EL TORNO,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-02-01,1,1
GENERAL SAAVEDRA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-02-01,47,47
GUAYARAMERIN,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-02-01,197,197
HUACAYA (VILLA DE HUACAYA),control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-02-01,22,22
