municipality,group,variable,month,l 26.1 Número de viviendas evaluadas entomológicamente,TOTAL
BOYUIBE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,208,208
CARANAVI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,173,173
CHIMORE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,2,2
COTOCA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,30,30
GUAYARAMERIN,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,2600,2600
GUTIERREZ,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,22,22
HUACARETA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,582,582
LA ASUNTA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,37,37
LAGUNILLAS,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,10,10
LORETO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,58,58
MAIRANA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,3,3
MAPIRI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,180,180
MONTEAGUDO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,3096,3096
OMEREQUE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,272,272
PALOS BLANCOS,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,368,368
PUERTO VILLARROEL,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,130,130
SAIPINA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,187,187
