,group,variable,month,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,1,1,1,1,2,2,4
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,5,4,3,1,8,5,13
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,0,0,2,0,2,0,2
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,1,2,1,0,2,2,4
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,0,2,0,2,0,4,4
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,1,1,1,0,2,1,3
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,0,3,0,0,0,3,3
CONCEPCION,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,0,0,1,0,1,0,1
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,6,0,5,1,11,1,12
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,1,0,1,0,2,0,2
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,0,1,0,0,0,1,1
GUANAY,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,0,0,0,1,0,1,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,3,1,3,1,6,2,8
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,0,0,1,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,5,3,3,2,8,5,13
PADCAYA,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,0,1,0,1,0,2,2
