,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-01-01,0.0,0.0,2.0,0.0,2.0,0.0,2.0
CHIMORE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-02-01,1.0,0.0,0.0,1.0,1.0,1.0,2.0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-02-01,1.0,0.0,3.0,0.0,4.0,0.0,4.0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-02-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-03-01,3.0,0.0,2.0,0.0,5.0,0.0,5.0
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-05-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-06-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-06-01,2.0,0.0,1.0,0.0,3.0,0.0,3.0
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-06-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
