,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BERMEJO,leishmaniasis,tratamientos de leishmania mucosa,2016-01-01,0,0,1,2,1,2,3
CAJUATA,leishmaniasis,tratamientos de leishmania mucosa,2016-01-01,1,0,1,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2016-01-01,0,0,1,1,1,1,2
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2016-01-01,0,0,0,1,0,1,1
COLOMI,leishmaniasis,tratamientos de leishmania mucosa,2016-01-01,1,0,0,0,1,0,1
CONCEPCION,leishmaniasis,tratamientos de leishmania mucosa,2016-01-01,0,0,1,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2016-01-01,4,0,0,0,4,0,4
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2016-01-01,1,0,0,0,1,0,1
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa,2016-01-01,1,0,0,0,1,0,1
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2016-01-01,2,0,0,0,2,0,2
SIPE SIPE,leishmaniasis,tratamientos de leishmania mucosa,2016-01-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2016-02-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2016-02-01,1,0,0,0,1,0,1
COLOMI,leishmaniasis,tratamientos de leishmania mucosa,2016-02-01,0,0,1,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2016-02-01,0,0,1,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2016-02-01,1,0,0,0,1,0,1
REYES,leishmaniasis,tratamientos de leishmania mucosa,2016-02-01,3,0,0,0,3,0,3
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2016-02-01,0,0,1,0,1,0,1
